id,name,水鏡深戀淨靈皮膚,type,pos,qlt,star,item_lv,price,base1,base2,base3,skill_id,ex_skill,group,job,act,form,suit_name,suit1,suit2,suit3,suit_skills,icon,formula,need_formula,treasure_upgrade,treasure_all_upgrade,treasure_refresh,treasure_lock_up,treasure_max,treasure_weight,artifact_exp,artifact_upg,artifact_next,artifact_pink,initial_artifact,power,partner_model,avatar,fx_index,get_ways
1011,-1,-1,6,1,1,1,1,50.0,atk#15,,,,,,,,,,,,,,equip_1_1,,,,,,,,,,,,,,,,,,
1012,-1,-1,6,1,1,2,2,80.0,atk#18,,,,,,,,,,,,,,equip_1_1,,,,,,,,,,,,,,,,,,
1021,-1,-1,6,1,2,1,3,100.0,atk#32,,,,,,,,,,,,,,equip_2_1,1022#3|1#1000,,,,,,,,,,,,,,,,,
1022,-1,-1,6,1,2,2,4,150.0,atk#38,,,,,,,,,,,,,,equip_2_1,1031#3|1#2000,1021#3|1#1000,,,,,,,,,,,,,,,,
1031,-1,-1,6,1,3,1,5,200.0,atk#66,,,,,,,,,,,,,,equip_3_1,1032#3|1#5000,1022#3|1#2000,,,,,,,,,,,,,,,,
1032,-1,-1,6,1,3,2,6,400.0,atk#85,,,,,,,,,,,,,,equip_3_1,1041#3|1#10000,1031#3|1#5000,,,,,,,,,,,,,,,,
1033,-1,-1,6,1,3,3,7,500.0,atk#107,,,,,,,,,,,,,,equip_3_1,,,,,,,,,,,,,,,,,,
1041,-1,-1,6,1,4,1,8,1000.0,atk#168,,,,,,,,,,,,,,equip_4_1,1042#3|1#20000,1032#3|1#10000,,,,,,,,,,,,,,,,
1042,-1,-1,6,1,4,2,9,2000.0,atk#218,,,,,,,,,,,,,,equip_4_1,1043#3|1#35000,1041#3|1#20000,,,,,,,,,,,,,,,,
1043,-1,-1,6,1,4,3,10,3000.0,atk#267,,,,,,,,1043|2043|3043|4043,-1.0,hpP#0.02,atkP#0.03,hpP#0.01,,equip_5_1,1051#3|1#100000,1042#3|1#35000,,,,,,,,,,,,,,,,
1044,-1,-1,6,1,4,4,11,10000.0,atk#317,,,,,,,,1044|2044|3044|4044,-1.0,hpP#0.03,atkP#0.04,hpP#0.01,,equip_5_1,,,,,,,,,,,,,,,,,,
1051,-1,-1,6,1,5,1,12,20000.0,atk#414,,,,,,,,1051|2051|3051|4051,-1.0,hpP#0.04,atkP#0.05,hpP#0.02,,equip_6_1,1052#3|1#200000,1043#3|1#100000,,,,,,,,,,,,,,,,
1052,-1,-1,6,1,5,2,13,30000.0,atk#502,,,,,,,,1052|2052|3052|4052,-1.0,hpP#0.05,atkP#0.07,hpP#0.04,,equip_7_1,1053#3|1#400000,1051#3|1#200000,,,,,,,,,,,,,,,,
1053,-1,-1,6,1,5,3,14,40000.0,atk#590,,,,,,,,1053|2053|3053|4053,-1.0,hpP#0.07,atkP#0.09,hpP#0.04,,equip_8_1,1054#3|1#600000,1052#3|1#400000,,,,,,,,,,,,,,,,
1054,-1,-1,6,1,5,4,15,60000.0,atk#678,,,,,,,,1054|2054|3054|4054,-1.0,hpP#0.08,atkP#0.11,hpP#0.05,,equip_9_1,1061#3|1#800000,1053#3|1#600000,,,,,,,,,,,,,,,,
1061,-1,-1,6,1,6,1,16,100000.0,atk#914,,,,,,,,1061|2061|3061|4061,-1.0,hpP#0.1,atkP#0.13,hpP#0.05,,equip_10_1,1062#3|1#1000000,1054#3|1#800000,,,,,,,,,,,,,,,,
1062,-1,-1,6,1,6,2,17,150000.0,atk#1116,,,,,,,,1062|2062|3062|4062,-1.0,hpP#0.11,atkP#0.15,hpP#0.06,,equip_11_1,1063#3|1#1200000,1061#3|1#1000000,,,,,,,,,,,,,,,,
