id,name,brief,desc,name1,type,type_config,qlt,group,is_economy,stack_limit,level,icon,light_effect,gift_id,is_auto_open,equip,pub_scroll_type,partner_cost,treasure_cost,get_ways,go_window,getway_item,dropbox_show,is_sell,sell_price,summon_id,show_in_bag,show_bag_type,filter_type,show_in_forge,skin_id,collection_id,para,avatar_frame_effect,effect_mask,dress_id
1,-1,-1.0,-1.0,-1,1.0,1001.0,3.0,,1.0,,1.0,icon_1,,,,,,,,,,,,,,,0.0,,,,,,,,,
2,-1,-1.0,-1.0,-1,1.0,1001.0,4.0,,1.0,,1.0,icon_2,,,,,,,,,,,,,,,0.0,,,,,,,,,
3,EXP,-1.0,-1.0,EXP,1.0,1001.0,3.0,,0.0,,1.0,icon_3,,,,,,,,,,,,,,,0.0,,,,,,,,,
4,-1,-1.0,-1.0,-1,1.0,,4.0,,1.0,,1.0,icon_4,,,,,,,,92|93|94|95,22.0,,,,,,1.0,2.0,1.0,,,,,,,
5,-1,-1.0,-1.0,-1,1.0,,3.0,,0.0,,1.0,icon_5,,,,,,,,,,,,,,,0.0,,,,,,,,,
6,-1,-1.0,-1.0,-1,1.0,,3.0,,0.0,,1.0,icon_6,,,,,,,,23,11.0,,,,,,1.0,2.0,1.0,,,,,,,
7,-1,-1.0,-1.0,-1,1.0,,4.0,,0.0,,1.0,icon_7,,,,,,,,21,9.0,,,,,,1.0,2.0,1.0,,,,,,,
8,-1,-1.0,,-1,1.0,1001.0,1.0,,1.0,,1.0,icon_8,,,,,,,,,,,,,,,0.0,,,,,,,,,
9,-1,-1.0,-1.0,-1,1.0,1001.0,3.0,,0.0,,1.0,icon_9,,,,,,,,2|4|14|25|21,,,,,,,1.0,2.0,1.0,,,,,,,
10,-1,-1.0,-1.0,-1,1.0,1001.0,3.0,,0.0,,1.0,icon_10,,,,,,,,2|6|10|25|122|21,,,,,,,1.0,2.0,1.0,,,,,,,
11,-1,-1.0,-1.0,-1,1.0,,3.0,,0.0,1000.0,1.0,icon_11,,,,,,,,,,,,,,,0.0,,,,,,,,,
12,-1,-1.0,,-1,1.0,,1.0,,0.0,,1.0,icon_12,,,,,,,,,,,,,,,0.0,,,,,,,,,
13,-1,-1.0,-1.0,-1,1.0,,3.0,,0.0,,1.0,icon_13,,,,,,,,,,,,,,,0.0,,,,,,,,,
14,-1,-1.0,-1.0,-1,1.0,1001.0,3.0,,0.0,,1.0,icon_14,,,,,,,,2|6|4|5,,,,,,,1.0,2.0,1.0,,,,,,,
15,-1,-1.0,-1.0,-1,1.0,,4.0,,0.0,,1.0,icon_15,,,,,,,,12,27.0,,,,,,1.0,2.0,1.0,,,,,,,
16,-1,-1.0,-1.0,-1,1.0,,4.0,,0.0,,1.0,icon_16,,,,,,,,5|28,29.0,,,,,,1.0,2.0,1.0,,,,,,,
17,-1,-1.0,-1.0,-1,14.0,,5.0,,0.0,,1.0,icon_17,,,,,,,,,,,,,,,0.0,,,,,,,,,
18,-1,-1.0,-1.0,-1,1.0,,3.0,,0.0,,1.0,icon_18,,,,,,,,,,,,,,,0.0,,,,,,,,,
19,-1,-1.0,-1.0,-1,1.0,,4.0,,0.0,,1.0,icon_19,,,,,,,,2|3|8|29,8.0,,,,,,1.0,2.0,1.0,,,,,,,
20,-1,-1.0,-1.0,-1,1.0,1001.0,5.0,,0.0,,1.0,icon_20,,,,,,,,2|3|24|29,8.0,,,,,,1.0,2.0,1.0,,,,,,,
22,-1,-1.0,-1.0,-1,14.0,,5.0,,0.0,,1.0,icon_22,,,,,,,,,,,,,,,0.0,,,,,,,,,
23,-1,-1.0,-1.0,-1,14.0,,4.0,,0.0,,1.0,icon_23,,,,,,,,,,,,,,,0.0,,,,,,,,,
24,-1,-1.0,-1.0,-1,1.0,,1.0,,0.0,999.0,28.0,icon_24,,,,,1.0,,,6,3.0,,,,,,1.0,2.0,1.0,,,,,,,
25,-1,-1.0,-1.0,-1,1.0,,3.0,,0.0,999.0,28.0,icon_25,,,,,2.0,,,6,3.0,,,,,,1.0,2.0,1.0,,,,,,,
26,-1,-1.0,-1.0,-1,1.0,1001.0,5.0,,0.0,,1.0,icon_26,,,,,,,,6|27,69.0,,,,,,1.0,2.0,1.0,,,,,,,
27,-1,-1.0,-1.0,-1,1.0,1001.0,5.0,,0.0,,1.0,icon_27,,,,,,,,6|27,69.0,,,,,,1.0,2.0,1.0,,,,,,,
28,-1,-1.0,-1.0,-1,1.0,,3.0,,0.0,9999.0,1.0,icon_28,,,,,,,,,,,,,,,1.0,2.0,1.0,,,,,,,
29,-1,-1.0,-1.0,-1,1.0,1001.0,5.0,,0.0,9999.0,1.0,icon_29,,,,,,,,2,24.0,,,,,,1.0,2.0,1.0,,,,,,,
30,-1,-1.0,,-1,1.0,,5.0,,0.0,,1.0,icon_30,,,,,,,,,,,,,,,0.0,,,,,,,,,
31,-1,-1.0,-1.0,-1,1.0,,3.0,,0.0,9999.0,1.0,icon_31,,,,,,,,,,,,,,,1.0,2.0,1.0,,,,,,,
32,-1,-1.0,-1.0,-1,1.0,,6.0,,0.0,9999.0,1.0,icon_32,,,,,,,,,,,,,,,0.0,,,,,,,,,
