id,next_id,select_next_ids,select,plot,name,image_path,is_memory,res_path,image_xy,image_move,dialog_type,partner_avatar,picture,picture_xy,picture_scale,scale,partner_picture_xy,type,show_type,disappear_type,show_time,disappear_time,position_move,swap_overlap,map_swap,image_mirror,cg_show,cg_path,cg_scale,cg_layer,cg_show_type,cg_start_xy,cg_show_time,cg_show_xy,cg_disappear_type,cg_disappear_xy,cg_disappear_time,sound,music,ambient_sound,bubble_mirror,bubble_xy,bubble_expression,no_click_time,effect,effect_sound,effect_scale,effect_xy,effect_layer,effect_count,jitter
1,2,,0,1-3a,-1,yingxinhuichang,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,7001.0,2157,,,,,,,,,,,
2,1000001,,0,,-1,yingxinhuichang,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,,0,,*,yingxinhuichang,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,,0,,*,yingxinhuichang,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,,0,,,yingxinhuichang,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,,0,,*,yingxinhuichang,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,plot_hit#texiao01,2150.0,,360#640,2.0,1.0,1.0
7,8,,0,,-1,yingxinhuichang,,partner_picture_56003,,,,,,,,1.0,0|0,0,1.0,6.0,1.0,1.0,0|0,,,,,,,,,,,,,,,60273.0,,,,,,,,,,,,,
8,9,,0,,-1,yingxinhuichang,,partner_picture_56003,,,,,,,,1.0,0|0,0,10.0,6.0,1.0,1.0,0|0,,,,,,,,,,,,,,,60274.0,,,,,,,,,,,,,
9,10,,0,,-1,yingxinhuichang,,partner_picture_56003,,,,,,,,1.0,0|0,0,1.0,6.0,1.0,1.0,0|0,,,,,,,,,,,,,,,60016.0,,,,,,,,,,,,,
10,11,,0,,*,yingxinhuichang,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,13,,0,,*,yingxinhuichang,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,,0,,,yingxinhuichang,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,,0,,*,yingxinhuichang,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,plot_hit#texiao01,2150.0,,360#640,2.0,1.0,1.0
14,16,,0,,-1,yingxinhuichang,,partner_picture_56003,,,,,,,,1.0,0|0,0,1.0,6.0,1.0,1.0,0|0,,,,,,,,,,,,,,,60013.0,,-1,,,,,,,,,,,
15,16,,0,,,new_school,,,,,,,,,,,,1,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
