Name,HP,Attack,Armor,Buff HP,Buff Attack,Buff Armor
Lucifer,2000,400,200,0.04%,0.12%,0.04%
Michael,2000,400,200,0.10%,0.10%,
Dracula,2000,400,200,0.08%,,0.12%
Saint,2200,360,200,0.12%,0.08%,
Nobunaga,1750,450,200,,0.10%,0.10%
KongMing,2000,300,250,0.10%,,0.10%
Marynari,700,140,70,,,0.10%
Robin,750,130,70,0.10%,,
Sisha,800,120,70,0.10%,,
Mythra,650,150,70,,0.125%,
Athena,600,180,60,,0.125%,
Kenshin,650,110,90,,0.125%,
Reo,600,140,80,,,0.10%
Poppi,500,100,50,,,
Jade,550,90,50,,,
Ursula,600,100,40,,,
Kitty,500,120,40,,,
Samurai,450,110,50,,,
Tula,450,90,60,,,
Edward,500,80,60,,,
King,500,100,50,,,
Donna,550,90,50,,,
Nobuna,600,100,40,,,
Annabelle,500,120,40,,,
Harley,450,110,50,,,
Magician,450,90,60,,,
Caitlin,500,80,60,,,
