id,desc,days,date,limit,last_time,server_type,special_interval,icon,title,type1,type2,rank,gift_id,free_gift,plot_id,round,table,window_name,window_params
1,-1,-1,,,,1,0,activity_checkin_png,-1,2,1,999,,,,,,,
2,-1,-1,44316,,,1,0,monthly_giftbag_png,-1,1,2,3,16|17|18|19|20|89|21,10112,,,,,
3,-1,-1,44232,,,1,0,weekly_giftbag_png,-1,1,2,4,22|23|24|25|200|201,10111,,,,,
4,-1,-1,,,,1,0,,,,,,,,,,,,
5,-1,-1,,,,1,0,,,,,,,,,,,,
6,-1,-1,,,,1,0,activity_month_card_png,-1,1,3,6,,,,,,,
7,-1,-1,,,,1,0,activity_mini_month_card_png,-1,1,3,5,,,,,,,
8,-1,-1,,,,1,0,activity_level_up_giftbag_png,,5,,5,,,,,,,
9,-1,-1,,,,1,0,five_star_gift_png,-1,5,,5,,,,,,,
10,-1,-1,,,,1,0,five_star_gift_png,-1,5,,5,,,,,,,
11,-1,-1,,,172800,1,0,first_recharge_png,,1,1,18,,,,,,,
12,-1,7,44540,,604800,1,0,activity_value_giftbag_png,-1,1,1,15,26|27|28|29|30,,,,,,
13,-1,7,,,604800,1,0,activity_summon_giftbag_png,-1,2,1,50,,,,500|4,,,
14,-1,7,,,604800,1,0,summon_special_hero_gift_png,-1,2,1,10,,,,,,,
15,-1,7,44533,,604800,1,0,activity_value_giftbag_png,-1,1,1,15,31|32|33|34|36,,,,,,
16,-1,7,44533,,604800,1,0,prophet_summon_giftbag_png,-1,2,1,50,,,,80|6,,,
17,-1,7,44533,,604800,1,0,miracle_giftbag_png,-1,2,1,10,,,,,,,
18,-1,-1,,,,1,0,following_giftbag_png|following_giftbag_en_en_png||following_giftbag_ja_jp_png||following_giftbag_ko_kr_png,-1,2,1,2,,,,,,,
19,-1,30,,,,1,0,free_recharge_png,-1,1,1,8,35,,,,,,
20,-1,7,44540,,604800,1,0,wishing_pool_giftbag_png,-1,2,1,50,,,,400|8,,,
21,-1,-1,,,2592000,1,0,pub_mission_giftbag_png,-1,2,3,8,,,,,,,
22,-1,-1,,,2592000,1,0,battle_arena_giftbag_png,-1,2,3,7,,,,,,,
23,-1,7,44547,,604800,1,0,shelter_giftbag_png,-1,2,1,10,,,,,,,
24,-1,-1,,,,1,0,mana_week_card_png,-1,1,3,7,,,,,,,
25,-1,-1,,,2592000,1,0,shenxue_giftbag_png,-1,2,3,5,,,,,,,
26,-1,7,44526,,604800,1,0,hero_exchange_png,-1,2,1,13,,,,,,,
27,-1,7,44526,,604800,1,0,qixi_giftbag_png,-1,2,1,14,,,,,,,
28,-1,7,,,604800,1,0,sweet_house_png,-1,2,1,10,,,,,,,
29,-1,7,44148,,604800,1,0,,-1,2,1,10,,,,,,,
30,-1,-1,,,,1,0,activity_cv_png,-1,2,1,1,,,,,,,
31,-1,-1,,,604800,1,0,limit_five_star_giftbag_png,-1,1,1,17,37,,,,,,
32,-1,-1,,,2592000,1,0,activity_world_boss_png,-1,2,3,10,,,,,,,
33,-1,8,44540,,691200,1,0,mid_autumn_activity_png,-1,2,1,30,,,,,,,
34,-1,7,,,604800,1,0,dark_guard_png,-1,2,1,10,,,,,,,
35,-1,-1,,,,1,0,mana_week_card_png,-1,1,3,7,,,,,,,
36,-1,7,44526,,604800,1,0,spring_festival_card_png,-1,1,1,90,,,,,,,
37,-1,7,44421,,604800,1,0,activity_jigsaw_png,-1,2,1,10,,,,,,,
38,-1,-1,,,,1,0,activity_subscription_png,-1,1,3,1,40|41|42,,,,,,
39,-1,-1,44232,,,1,0,monthly_giftbag_png,-1,1,2,3,43|44|45|46|47|48|199,10113,,,,,
40,-1,-1,44316,,,1,0,weekly_giftbag_png,-1,1,2,4,49|50|51|52|90|87,10110,,,,,
41,-1,14,44127,,,1,0,awake_giftbag_png,-1,2,1,9,,,,,,,
42,-1,15,,,1296000,1,0,christmas_giftbag_png,-1,2,1,10,,,,,,,
43,-1,15,,,1296000,1,0,christmas_giftbag2_png,-1,2,1,10,,,,,,,
44,-1,7,44540,,604800,1,0,benefit_giftbag_png,-1,1,1,13,56|71,,,,,,
45,-1,7,44533,,604800,1,0,benefit_giftbag02_png,-1,1,1,13,57|65,,,,,,
46,-1,14,,,1209600,1,0,favorability_act_png,-1,2,1,10,,,,,,,
47,-1,7,,,604800,1,0,newyear_signin_png,-1,2,1,10,,,,,,,
48,-1,7,,,604800,1,0,ten_star_exchange_png,-1,2,1,10,,,,,,,
49,-1,-1,,,,1,0,stage_giftbag_png,-1,5,1,10,64,,,,,,
50,-1,7,,,604800,1,0,sakura_date_icon02_png,-1,2,1,10,,,,,,,
51,-1,-1,,,,1,0,ring_giftbag_icon_png,-1,1,3,3,66,,,,,,
52,-1,17,,,1468800,1,0,activity_vote_png,-1,2,1,10,,,34,,,,
53,-1,3,,,259200,1,0,test_task_giftbag_png,-1,1,1,1,,,,,,,
54,-1,3,,,259200,1,0,test_feedback_png,-1,1,1,1,,,,,,,
55,-1,7,,,604800,1,0,fit_up_dorm_png,-1,2,1,10,,,,,,,
56,-1,7,44519,,604800,1,0,school_opens_gift_png,-1,2,1,96,,,,,,,
57,-1,30,,,2592000,1,0,grow_up_giftbag_png,-1,1,1,16,67,,,,,,
58,-1,7,,,604800,1,0,summon_new_server_giftbag_png,-1,2,1,10,,,,,,,
59,-1,14,,,1209600,1,0,plot_finish_giftbag_png,-1,2,1,10,,,,,,,
60,-1,7,,,604800,1,0,equip_gacha_png,-1,2,1,10,,,,,,,
61,-1,7,,,604800,1,0,beach_boss_png,-1,2,1,10,,,,,,,
62,-1,7,,,604800,1,0,upgrade_giftbag_png,-1,1,1,9,70,,,,,,
63,-1,15,44470,,604800,1,0,make_cake_png,-1,2,1,15,,,,,,,
64,-1,7,44533,,604800,1,0,jackpot_png,-1,2,1,60,,,,,,,
65,-1,7,,,604800,1,0,jackpot_score_png,-1,2,1,10,,,,,,,
66,-1,1,44190,,172800,1,0,promotion_giftbag_png,-1,1,1,90,73|77,,,,,,
67,-1,7,,,604800,1,0,activity_concert_png,-1,2,1,10,,,,,,,
