id,vip_level,daily_awards,once_awards
1,0,2#100|36#3,8056#1
2,1,2#100|36#4,940002#50|36#5
3,2,2#200|36#4,8057#1
4,3,2#300|36#4,940004#50|4203001#2
5,4,2#300|36#5,242#1|20#6
6,5,2#400|36#5,8058#1
7,6,2#400|36#6,244#1|4204012#2
8,7,2#500|36#6,940005#50|940006#50
9,8,2#500|36#7,8059#1
10,9,2#600|36#7,940031#50|940032#50
11,10,2#600|36#8,940033#50|940034#50
12,11,2#700|36#8,8060#1
13,12,2#700|36#9,940046#50
14,13,2#800|36#9,4501002#1
15,14,2#800|36#10,4402005#1
16,15,2#900|36#11,940052#50
17,16,2#1000|36#12,4402005#1
