id,type,matchup,weight
1,6,3;1;1;2;2;2;1;3;1;3;1;2;2;1;2;1,375
2,6,2;1;1;3;3;1;2;2;2;1;3;1;1;2;1;2,375
3,6,2;1;2;1;1;3;1;2;2;2;1;3;3;1;1;2,375
4,6,1;2;1;2;2;1;3;1;3;1;2;2;2;1;1;3,375
5,7,1;1;2;2;2;3;1;3;1;1;1;2;2;1;2;3,750
6,7,2;2;1;1;3;1;3;2;2;1;1;1;3;2;1;2,750
7,7,2;1;2;3;1;1;1;2;2;3;1;3;1;1;2;2,750
8,7,3;2;1;2;2;1;1;1;3;1;3;2;2;2;1;1,750
9,8,1;2;1;1;2;1;3;2;1;1;1;1;3;2;1;2,560
10,8,1;1;2;1;2;3;1;2;1;1;1;1;2;1;2;3,560
11,8,3;2;1;2;1;1;1;1;2;1;3;2;1;2;1;1,560
12,8,2;1;2;3;1;1;1;1;2;3;1;2;1;1;2;1,560
13,8,1;2;2;1;1;1;1;3;2;3;2;1;1;1;1;2,560
14,8,1;2;2;1;3;1;1;1;1;2;3;2;2;1;1;1,560
15,8,1;1;1;2;2;3;2;1;1;1;1;3;1;2;2;1,560
16,8,2;1;1;1;1;2;3;2;3;1;1;1;1;2;2;1,560
17,9,1;2;1;1;2;1;3;2;1;2;1;1;3;1;1;3,260
18,9,1;1;2;1;2;3;1;2;1;1;2;1;3;1;1;3,260
19,9,3;1;1;3;1;2;1;1;2;1;3;2;1;2;1;1,260
20,9,3;1;1;3;1;1;2;1;2;3;1;2;1;1;2;1,260
21,9,3;2;1;1;1;1;3;1;1;2;2;1;3;1;1;2,260
22,9,1;1;2;3;1;3;1;1;1;2;2;1;2;1;1;3,260
23,9,3;1;1;2;1;2;2;1;1;1;3;1;3;2;1;1,260
24,9,2;1;1;3;1;2;2;1;1;3;1;1;1;1;2;3,260
25,9,3;2;1;1;1;2;1;1;1;3;1;2;1;1;2;3,260
26,9,1;1;2;3;1;1;2;1;2;1;3;1;3;2;1;1,260
27,9,1;1;2;3;1;3;1;2;1;2;1;1;3;2;1;1,260
28,9,3;2;1;1;2;1;3;1;1;1;2;1;1;1;2;3,260
29,9,1;3;1;3;1;2;1;1;2;1;3;1;2;1;2;1,260
30,9,3;1;3;1;1;1;2;1;1;3;1;2;1;2;1;2,260
31,9,2;1;2;1;2;1;3;1;1;2;1;1;1;3;1;3,260
32,9,1;2;1;2;1;3;1;2;1;1;2;1;3;1;3;1,260
33,10,3;2;1;1;1;1;2;1;1;3;1;2;1;1;1;3,80
34,10,1;1;2;3;1;2;1;1;2;1;3;1;3;1;1;1,80
35,10,1;1;1;3;1;3;1;2;1;1;2;1;3;2;1;1,80
36,10,3;1;1;1;2;1;3;1;1;2;1;1;1;1;2;3,80
37,10,2;2;1;1;3;1;2;1;1;3;1;1;1;1;2;3,80
38,10,1;1;2;2;1;2;1;3;1;1;3;1;3;2;1;1,80
39,10,1;1;2;3;1;3;1;1;3;1;2;1;2;2;1;1,80
40,10,3;2;1;1;1;1;3;1;1;2;1;3;1;1;2;2,80
41,10,1;2;1;1;1;1;2;2;1;3;1;1;1;3;2;3,80
42,10,1;1;2;1;2;2;1;1;1;1;3;1;3;2;3;1,80
43,10,1;3;2;3;1;3;1;1;1;1;2;2;1;2;1;1,80
44,10,3;2;3;1;1;1;3;1;2;2;1;1;1;1;2;1,80
45,10,2;1;1;1;2;1;3;1;1;2;1;2;1;3;1;1,80
46,10,1;1;1;2;1;3;1;2;2;1;2;1;1;1;3;1,80
47,10,1;3;1;1;1;2;1;2;2;1;3;1;2;1;1;1,80
48,10,1;1;3;1;2;1;2;1;1;3;1;2;1;1;1;2,80
49,10,1;1;3;1;2;1;1;2;1;1;2;3;1;2;1;1,80
50,10,1;3;1;1;2;1;1;2;3;2;1;1;1;1;2;1,80
51,10,1;2;1;1;1;1;2;3;2;1;1;2;1;1;3;1,80
52,10,1;1;2;1;3;2;1;1;2;1;1;2;1;3;1;1,80
53,10,1;1;3;1;2;3;1;2;1;2;1;3;1;2;1;1,80
54,10,1;3;1;1;2;1;3;2;3;1;2;1;1;1;2;1,80
55,10,1;2;1;1;1;2;1;3;2;3;1;2;1;1;3;1,80
56,10,1;1;2;1;3;1;2;1;2;1;3;2;1;3;1;1,80
57,10,1;1;3;1;2;2;1;3;2;1;1;1;1;1;2;1,80
58,10,1;3;1;1;3;1;2;2;1;1;1;2;1;2;1;1,80
59,10,1;1;2;1;2;1;1;1;2;2;1;3;1;1;3;1,80
60,10,1;2;1;1;1;1;1;2;3;1;2;2;1;3;1;1,80
61,12,1;2;1;2;2;1;2;1;1;1;3;2;1;3;1;1,80
62,12,2;1;2;1;1;2;1;2;2;3;1;1;1;1;3;1,80
63,12,1;3;1;1;1;1;3;2;2;1;2;1;1;2;1;2,80
64,12,1;1;3;1;2;3;1;1;1;2;1;2;2;1;2;1,80
65,12,1;2;1;1;1;2;1;2;3;1;2;1;3;1;1;1,80
66,12,1;1;2;1;2;1;2;1;1;2;1;3;1;1;1;3,80
67,12,3;1;1;1;3;1;2;1;1;2;1;2;1;2;1;1,80
68,12,1;1;1;3;1;2;1;3;2;1;2;1;1;1;2;1,80
69,12,1;1;3;1;3;2;1;2;2;1;2;1;1;3;1;1,80
70,12,1;3;1;1;2;1;2;3;1;2;1;2;1;1;3;1,80
71,12,1;3;1;1;2;1;2;1;3;2;1;2;1;1;3;1,80
72,12,1;1;3;1;1;2;1;2;2;1;2;3;1;3;1;1,80
73,12,1;3;1;1;1;1;3;1;2;1;1;1;2;2;2;1,80
74,12,1;1;3;1;1;3;1;1;1;1;1;2;1;2;2;2,80
75,12,2;2;2;1;2;1;1;1;1;1;3;1;1;3;1;1,80
76,12,1;2;2;2;1;1;1;2;1;3;1;1;1;1;3;1,80
77,12,1;1;1;2;3;1;2;1;3;2;1;3;1;2;1;1,80
78,12,2;1;1;1;1;2;1;3;3;1;2;3;1;1;2;1,80
79,12,1;2;1;1;3;2;1;3;3;1;2;1;1;1;1;2,80
80,12,1;1;2;1;3;1;2;3;1;2;1;3;2;1;1;1,80
81,15,2;1;2;2;1;3;2;3;1;1;3;1;1;1;1;1,80
82,15,2;2;1;2;3;2;3;1;1;3;1;1;1;1;1;1,80
83,15,1;1;1;1;1;1;3;1;1;3;2;3;2;1;2;2,80
84,15,1;1;1;1;1;3;1;1;3;2;3;1;2;2;1;2,80
85,15,1;3;1;2;1;3;2;1;3;1;1;2;1;1;1;1,80
86,15,2;1;3;1;1;2;3;1;2;1;1;3;1;1;1;1,80
87,15,1;1;1;1;3;1;1;2;1;3;2;1;1;3;1;2,80
88,15,1;1;1;1;2;1;1;3;1;2;3;1;2;1;3;1,80
89,15,1;1;2;1;1;2;1;1;1;1;2;1;3;3;3;1,80
90,15,1;2;1;1;1;1;2;1;1;2;1;1;1;3;3;3,80
91,15,3;3;3;1;1;1;2;1;1;2;1;1;1;1;2;1,80
92,15,1;3;3;3;1;2;1;1;1;1;2;1;1;2;1;1,80
93,15,1;1;2;1;2;2;1;2;1;1;2;1;3;1;3;1,80
94,15,1;2;1;1;2;1;2;2;1;2;1;1;1;3;1;3,80
95,15,3;1;3;1;1;1;2;1;2;2;1;2;1;1;2;1,80
96,15,1;3;1;3;1;2;1;1;2;1;2;2;1;2;1;1,80
97,15,1;1;1;3;1;2;2;3;2;1;2;1;1;1;1;2,80
98,15,3;1;1;1;3;2;2;1;1;2;1;2;2;1;1;1,80
99,15,1;1;1;2;2;1;2;1;1;2;2;3;1;1;1;3,80
100,15,2;1;1;1;1;2;1;2;3;2;2;1;3;1;1;1,80
101,18,1;2;1;3;1;2;3;1;2;1;2;1;1;2;1;2,30
102,18,3;1;2;1;1;3;2;1;1;2;1;2;2;1;2;1,30
103,18,1;2;1;2;2;1;2;1;1;2;3;1;1;2;1;3,30
104,18,2;1;2;1;1;2;1;2;1;3;2;1;3;1;2;1,30
105,18,1;1;2;1;3;2;1;2;2;3;1;2;1;1;2;1,30
106,18,1;2;1;1;2;1;2;3;2;1;3;2;1;2;1;1,30
107,18,1;1;2;1;2;3;1;2;3;2;1;2;1;1;2;1,30
108,18,1;2;1;1;2;1;3;2;2;1;2;3;1;2;1;1,30
109,18,1;2;1;3;2;1;2;1;1;3;2;2;1;2;1;1,30
110,18,3;1;2;1;1;2;1;2;2;2;3;1;1;1;2;1,30
111,18,1;2;1;1;1;3;2;2;2;1;2;1;1;2;1;3,30
112,18,1;1;2;1;2;2;3;1;1;2;1;2;3;1;2;1,30
113,18,3;1;1;2;1;3;2;1;1;2;1;2;1;1;2;2,30
114,18,2;1;1;3;1;2;3;1;2;1;2;1;2;2;1;1,30
115,18,1;1;2;2;1;2;1;2;1;3;2;1;3;1;1;2,30
116,18,2;2;1;1;2;1;2;1;1;2;3;1;2;1;1;3,30
117,20,2;1;3;1;1;3;1;2;3;1;1;2;1;3;1;1,40
118,20,1;3;1;2;2;1;3;1;2;1;1;3;1;1;3;1,40
119,20,1;3;1;1;3;1;1;2;1;3;1;2;2;1;3;1,40
120,20,1;1;3;1;2;1;1;3;2;1;3;1;1;3;1;2,40
121,20,1;2;1;2;3;1;2;1;3;1;3;1;1;3;1;1,40
122,20,2;1;2;1;1;2;1;3;1;3;1;3;1;1;3;1,40
123,20,1;3;1;1;3;1;3;1;3;1;2;1;1;2;1;2,40
124,20,1;1;3;1;1;3;1;3;1;2;1;3;2;1;2;1,40
125,20,2;1;1;1;2;3;3;1;1;2;1;3;1;1;1;3,40
126,20,1;1;1;2;1;3;3;2;3;1;2;1;3;1;1;1,40
127,20,1;1;1;3;1;2;1;3;2;3;3;1;2;1;1;1,40
