id,desc,awards,cost,limit,time,type,card_img
1,-1,7182#1,254#120,2,0,1,
2,-1,7194#1,254#120,2,0,1,
3,-1,7196#1,254#120,2,1628640000,1,card_img_7196
4,-1,7188#1,254#120,2,1628640000,1,card_img_7188
5,-1,7197#1,254#120,2,1629072000,1,card_img_7197
6,-1,7198#1,254#120,2,1629072000,1,card_img_7198
7,-1,7109#1,254#120,2,0,2,
8,-1,7115#1,254#120,2,0,2,
9,-1,7110#1,254#120,2,0,2,
10,-1,7114#1,254#90,2,0,2,
11,-1,7111#1,254#120,2,1628640000,2,
12,-1,7118#1,254#120,2,1628640000,2,
13,-1,7116#1,254#120,2,1628640000,2,
14,-1,7108#1,254#90,2,1628640000,2,
15,-1,7112#1,254#120,2,1629072000,2,
16,-1,7099#1,254#120,2,1629072000,2,
17,-1,7113#1,254#120,2,1629072000,2,
18,-1,7034#1,254#120,2,0,3,
19,-1,7038#1,254#120,2,0,3,
20,-1,7041#1,254#120,2,1628640000,3,
21,-1,7043#1,254#120,2,1628640000,3,
22,-1,7033#1,254#120,2,1629072000,3,
23,-1,7047#1,254#90,2,1629072000,3,
