id,type,next_id,battle_id,dropbox_id,final_award,hp,monster_hp,mail_id,monthly_act_count,level_tips
1,1,2,700101,410101,1#10000000,217998007,217998007,43,0,1
2,1,3,700102,410102,1#20000000,1222533400,1222533400,43,0,2
3,1,4,700103,410103,1#30000000,3144702733.0,3144702733.0,43,0,3
4,1,5,700103,410103,1#30000000,3144702733.0,3144702733.0,43,0,4
5,1,6,700103,410103,1#30000000,3144702733.0,3144702733.0,43,0,5
6,1,7,700104,410103,1#30000000,4280110112.0,4280110112.0,43,0,6
7,1,8,700104,410103,1#30000000,4280110112.0,4280110112.0,43,0,7
8,1,0,700104,410103,1#30000000,4280110112.0,4280110112.0,43,1,8
9,2,10,700201,410201,14#2000,218010829,218010829,44,0,1
10,2,11,700202,410202,14#5000,1018771444,1018771444,44,0,2
11,2,12,700203,410203,14#8000,2620337564.0,2620337564.0,44,0,3
12,2,13,700203,410203,14#8000,2620337564.0,2620337564.0,44,0,4
13,2,14,700203,410203,14#8000,2620337564.0,2620337564.0,44,0,5
14,2,15,700204,410203,14#8000,3566685561.0,3566685561.0,44,0,6
15,2,16,700204,410203,14#8000,3566685561.0,3566685561.0,44,0,7
16,2,0,700204,410203,14#8000,3566685561.0,3566685561.0,44,1,8
17,3,18,700301,410301,26#800|27#300,218018410,218018410,45,0,1
18,3,19,700302,410302,26#1200|27#500,1018847691,1018847691,45,0,2
19,3,20,700303,410303,26#2000|27#1000,2620538066.0,2620538066.0,45,0,3
20,3,21,700303,410303,26#2000|27#1000,2620538066.0,2620538066.0,45,0,4
21,3,22,700303,410303,26#2000|27#1000,2620538066.0,2620538066.0,45,0,5
22,3,23,700304,410303,26#2000|27#1000,3566698403.0,3566698403.0,45,0,6
23,3,24,700304,410303,26#2000|27#1000,3566698403.0,3566698403.0,45,0,7
24,3,0,700304,410303,26#2000|27#1000,3566698403.0,3566698403.0,45,1,8
