id,rank,awards
1,1,1#20000000|26#1500|27#600|14#5000|956099#50|956001#50
2,2,1#18000000|26#1400|27#300|14#4750|956099#50|955099#50
3,3,1#15000000|26#1350|27#250|14#4400|956099#50
4,4,1#14000000|26#1300|27#240|14#4200|956001#50|955099#50
5,5,1#13000000|26#1250|27#230|14#4000|956001#50|955099#50
6,6,1#12000000|26#1200|27#220|14#3800|956001#50|955099#50
7,7,1#11000000|26#1150|27#210|14#3600|956001#50|955001#50
8,8,1#10000000|26#1100|27#200|14#3400|956001#50|955001#50
9,9,1#9000000|26#1050|27#190|14#3200|956001#50|955001#50
10,10,1#8000000|26#1000|27#180|14#3000|956001#50|955001#50
11,15,1#7000000|26#950|27#170|14#2750|956001#50
12,20,1#6000000|26#900|27#160|14#2500|955099#50|955001#50
13,30,1#5000000|26#850|27#150|14#2250|955099#50
14,50,1#4000000|26#800|27#140|14#2000|955001#50
15,75,1#3000000|26#750|27#130|14#1750
16,100,1#2500000|26#700|27#120|14#1500
17,150,1#2000000|26#650|27#110|14#1250
18,200,1#1500000|26#600|27#100|14#1000
19,300,1#1000000|26#500|27#90|14#800
20,500,1#750000|26#400|27#80|14#600
21,1000,1#500000|26#300|27#70|14#400
22,99999,1#250000|26#200|27#50|14#200
