id,award0,award1,award2,award3,num,cost,limit,requirement
1,36#1,1#500000|20@9#500000|20@14#375|20@10#375|20,,,1,194#5,20,0
2,258#1,287#20|1@260#50|1@261#5|1,,,1,194#20,1,0
3,20#1,36#10|1@20#3|1@29#6|1,1#4000000|1@9#4000000|1@14#3000|1@10#3000|1@26#3000|1@27#600|1@216#300|1,,2,194#40,1,0
4,36#5,1#8000000|3@9#8000000|3@14#6000|3@10#6000|3,,,1,194#60,3,20
5,258#5,198#15000|2@199#3000|2@74#128|1@940004#50|2,36#10|1@20#3|1@29#6|1@287#100|1,,2,194#100,2,80
6,974001#30,198#22500|2@199#4500|2@74#168|1@940005#50|1@940006#50|1,36#15|1@20#5|1@29#9|1@287#150|1,,2,194#150,2,100
7,4102007#1,930185#50|1@930192#50|1@930200#50|1@930202#50|1@930209#50|1@930183#50|1@930186#50|1@930191#50|1@930199#50|1@930204#50|1@930179#50|1@930184#50|1@930190#50|1@930198#50|1@930201#50|1@930189#50|1@930196#50|1@930193#50|1@930203#50|1@930207#50|1,,,1,194#250,2,200
8,4102008#1,930194#50|1@930188#50|1@930181#50|1@930176#50|1@930123#50|1@930197#50|1@930195#50|1@930187#50|1@930180#50|1@930120#50|1,,,1,194#300,2,300
9,170#60,930205#50|2@930206#50|2,940005#50|2@940006#50|2@93#1|2@73#15|2,,2,194#350,2,350
10,930212#50,149#1|1@150#1|1@151#1|1@152#1|1@153#1|1,,,1,194#350,1,400
11,976001#50,6431#1|1@6437#1|1@6443#1|1@6449#1|1@6455#1|1@6461#1|1@6473#1|1@6485#1|1@6497#1|1@6701#1|1@6707#1|1@6713#1|1@6719#1|1@6725#1|1@6731#1|1,,,1,194#400,1,500
12,6737#1,36#30|1@20#9|1@29#18|1@259#18|1,260#1000|1@261#100|1@287#400|1,,2,194#400,2,600
