id,next_id,select_next_ids,select,plot,day,activity_plot_list_id,name,image_path,type,res_path,spine_path,map_swap,image_xy,image_move,dialog_type,partner_avatar,picture,picture_xy,picture_scale,is_memory,scale,partner_picture_xy,show_type,disappear_type,show_time,disappear_time,position_move,swap_overlap,image_mirror,cg_show,cg_path,cg_scale,cg_show_type,cg_start_xy,cg_show_time,cg_show_xy,cg_disappear_type,cg_disappear_xy,cg_disappear_time,sound,music,expression,face,face_scale,face_pos,bubble_mirror,bubble_xy,bubble_expression,no_click_time,effect,effect_scale,effect_xy,effect_layer,effect_count,jitter
1,2,,,,1,,,qilizhiwu_outside,1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,,,,,,,qilizhiwu_outside,1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,,,,,,,qilizhiwu_outside,1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,,,,,,,qilizhiwu_outside,1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,,,,,,,qilizhiwu_outside,1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,,,,,,,qilizhiwu_outside,1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,,,,,,,qilizhiwu_outside,1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,,,,,,-1,qilizhiwu,0,partner_picture_54008,,0,,,0,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,,,,,,-1,qilizhiwu,0,partner_picture_54008,,0,,,0,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,,,,,,-1,qilizhiwu,0,partner_picture_54008,,0,,,0,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15,,,,,,-1,qilizhiwu,0,partner_picture_54008,,0,,,0,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16,,,,,,-1,qilizhiwu,0,partner_picture_54008,,0,,,0,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,,,,,,,qilizhiwu,1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,,,,,,,qilizhiwu,1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,,,,,,,qilizhiwu,1,partner_picture_51013,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,23,,,,,,-1,qilizhiwu,0,partner_picture_55002,,0,,,0,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,24,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,25,,,,,,-1,qilizhiwu,0,partner_picture_55002,,0,,,0,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,26,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,27,,,,,,-1,qilizhiwu,0,partner_picture_55002,,0,,,0,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,28,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,29,,,,,,-1,qilizhiwu,0,partner_picture_55002,,0,,,0,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,30,,,,,,-1,qilizhiwu,0,partner_picture_55002,,0,,,0,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,31,,,,,,,qilizhiwu,1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,32,,,,,,,qilizhiwu,1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,33,,,,,,,qilizhiwu,1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,34,,,,,,,qilizhiwu,1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,35,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,36,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,37,,,,,,-1,qilizhiwu,0,partner_picture_14001,,0,,,0,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,38,,,,,,,qilizhiwu,1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,39,,,,,,,qilizhiwu,1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,40,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,41,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,42,,,,,,-1,qilizhiwu,0,partner_picture_52012,,0,,,0,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,43,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,44,,,,,,,qilizhiwu,1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,45,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,46,,,,,,-1,qilizhiwu,0,partner_picture_52012,,0,,,0,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,47,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,48,,,,,,-1,qilizhiwu,0,partner_picture_52012,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,49,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,50,,,,,,-1,qilizhiwu,0,partner_picture_52012,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,51,,,,,,-1,qilizhiwu,0,partner_picture_54007,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,52,,,,,,,qilizhiwu,1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,53,,,,,,,qilizhiwu,1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,54,,,,,,-1,qilizhiwu,0,partner_picture_54007,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,55,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,56,,,,,,-1,qilizhiwu,0,partner_picture_54007,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,57,,,,,,-1,qilizhiwu,0,partner_picture_54007,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,58,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,59,,,,,,-1,qilizhiwu,0,partner_picture_54007,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,60,,,,,,,qilizhiwu,1,,,0,,,1,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,61,,,,,,-1,qilizhiwu,0,partner_picture_54007,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,62,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,63,,,,,,-1,qilizhiwu,0,partner_picture_54007,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,64,,,,,,-1,qilizhiwu,0,partner_picture_54007,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
