id,monster1,monster2
1,89024|89007|89008|89010|89013|89080,89002|89001|89003|89011|89005|89027
2,89012|89013|89014|89015|89016|89017,89018|89020|89019|89018|89019|89020
3,89046|89046|89045|89045|89045|89045,89048|89048|89047|89047|89047|89047
4,89022|89022|89060|89060|89023|89023,89073|89073|89025|89025|89026|89026
5,89058|89028|89029|89058|89028|89029,89030|89012|89030|89012|89031|89031
6,89041|89041|89039|89040|89039|89040,89052|89042|89044|89042|89052|89044
7,89049|89084|89051|89049|89084|89051,89052|89053|89054|89052|89053|89054
8,89056|89056|89057|89057|89085|89085,89081|89081|89059|89059|89060|89060
9,89008|89086|89008|89080|89080|89086,89019|89086|89019|89086|89084|89084
10,89062|89062|89063|89064|89063|89064,89065|89065|89066|89067|89066|89067
11,89068|89069|89068|89069|89068|89069,89070|89071|89070|89071|89070|89071
12,89033|89033|89034|89034|89035|89035,89036|89036|89037|89037|89038|89038
13,89082|89078|89082|89083|89067|89083,89082|89054|89082|89083|89064|89083
