id,desc,type,rank,qlt,point,star,award
1,-1,1,2,,25,,260#60|2#400
2,-1,1,3,,50,,261#10|20#2
3,-1,1,4,,100,,259#5|260#150
4,-1,1,5,,200,,259#5|261#15
5,-1,1,6,,300,,259#5|260#250
6,-1,1,7,,400,,259#5|261#35
7,-1,1,8,,500,,259#5|73#20
8,-1,2,9,,5,2,258#2|260#100
9,-1,2,10,,5,3,259#2|261#20
10,-1,3,1,,3,,258#2|260#50
11,-1,4,16,,2,,258#2|260#50
12,-1,4,17,,4,,259#3|258#3
13,-1,4,18,,6,,259#5|260#400
14,-1,2,11,6,1,1,258#3|261#20
15,-1,2,12,6,5,1,259#5|261#50
16,-1,2,13,5,5,1,258#3|260#100
17,-1,2,14,5,15,1,259#5|260#400
18,-1,2,15,4,40,1,259#5|261#50
