id,name,desc,effect,skillA,skillB,weight,box_id,icon
101,-1,-1,4%,119810101,119820101,100,1,skill_icon_5200103
201,-1,-1,3%,119810201,119820201,100,1,skill_icon_76
301,-1,-1,60,119810301,119820301,0,1,skill_icon_161
401,-1,-1,3%,119810401,119820401,100,1,skill_icon_174
501,-1,-1,10,119810501,119820501,100,1,skill_icon_86
601,-1,-1,8%,119810601,119820601,100,1,skill_icon_278
701,-1,-1,2%,119810701,119820701,100,1,skill_icon_33
801,-1,-1,6%,119810801,119820801,100,1,skill_icon_42
901,-1,-1,5%,119810901,119820901,100,1,skill_icon_81
1001,-1,-1,5%,119811001,119821001,100,1,skill_icon_40
1101,-1,-1,4%,119811101,119821101,100,1,skill_icon_80
1201,-1,-1,5%,119811201,119821201,100,1,skill_icon_15
1301,-1,-1,5%,119811301,119821301,100,1,skill_icon_94
102,-1,-1,4%,119810102,119820102,100,2,skill_icon_5200103
202,-1,-1,3%,119810202,119820202,100,2,skill_icon_76
302,-1,-1,60,119810302,119820302,0,2,skill_icon_161
402,-1,-1,3%,119810402,119820402,100,2,skill_icon_174
502,-1,-1,10,119810502,119820502,100,2,skill_icon_86
602,-1,-1,8%,119810602,119820602,100,2,skill_icon_278
702,-1,-1,2%,119810702,119820702,100,2,skill_icon_33
802,-1,-1,6%,119810802,119820802,100,2,skill_icon_42
902,-1,-1,5%,119810902,119820902,100,2,skill_icon_81
1002,-1,-1,5%,119811002,119821002,100,2,skill_icon_40
1102,-1,-1,4%,119811102,119821102,100,2,skill_icon_80
1202,-1,-1,5%,119811202,119821202,100,2,skill_icon_15
1302,-1,-1,5%,119811302,119821302,100,2,skill_icon_94
103,-1,-1,4%,119810103,119820103,100,3,skill_icon_5200103
203,-1,-1,3%,119810203,119820203,100,3,skill_icon_76
303,-1,-1,60,119810303,119820303,0,3,skill_icon_161
403,-1,-1,3%,119810403,119820403,100,3,skill_icon_174
503,-1,-1,10,119810503,119820503,100,3,skill_icon_86
603,-1,-1,8%,119810603,119820603,100,3,skill_icon_278
703,-1,-1,2%,119810703,119820703,100,3,skill_icon_33
803,-1,-1,6%,119810803,119820803,100,3,skill_icon_42
903,-1,-1,5%,119810903,119820903,100,3,skill_icon_81
1003,-1,-1,5%,119811003,119821003,100,3,skill_icon_40
1103,-1,-1,4%,119811103,119821103,100,3,skill_icon_80
1203,-1,-1,5%,119811203,119821203,100,3,skill_icon_15
1303,-1,-1,5%,119811303,119821303,100,3,skill_icon_94
104,-1,-1,4%,119810104,119820104,100,4,skill_icon_5200103
204,-1,-1,3%,119810204,119820204,100,4,skill_icon_76
304,-1,-1,60,119810304,119820304,0,4,skill_icon_161
404,-1,-1,3%,119810404,119820404,100,4,skill_icon_174
504,-1,-1,10,119810504,119820504,100,4,skill_icon_86
604,-1,-1,8%,119810604,119820604,100,4,skill_icon_278
704,-1,-1,2%,119810704,119820704,100,4,skill_icon_33
804,-1,-1,6%,119810804,119820804,100,4,skill_icon_42
904,-1,-1,5%,119810904,119820904,100,4,skill_icon_81
1004,-1,-1,5%,119811004,119821004,100,4,skill_icon_40
1104,-1,-1,4%,119811104,119821104,100,4,skill_icon_80
1204,-1,-1,5%,119811204,119821204,100,4,skill_icon_15
1304,-1,-1,5%,119811304,119821304,100,4,skill_icon_94
