id,partner_id,name,box_id,weight,lv,grade,equips,is_new,is_up
1,541001,-1,1002,26,100,5,1061|2061|3061|4061|0|0,,
2,541002,-1,1002,26,100,5,1061|2061|3061|4061|0|0,,
3,541003,-1,1002,26,100,5,1061|2061|3061|4061|0|0,,
4,541004,-1,1002,26,100,5,1061|2061|3061|4061|0|0,,
5,541005,-1,1002,26,100,5,1061|2061|3061|4061|0|0,,
6,541006,-1,1002,26,100,5,1061|2061|3061|4061|0|0,,
7,541007,-1,1002,26,100,5,1061|2061|3061|4061|0|0,,
8,541008,-1,1002,26,100,5,1061|2061|3061|4061|0|0,,
9,542001,-1,1002,26,100,5,1061|2061|3061|4061|0|0,,
10,542002,-1,1002,26,100,5,1061|2061|3061|4061|0|0,,
11,542003,-1,1002,26,100,5,1061|2061|3061|4061|0|0,,
12,542004,-1,1002,26,100,5,1061|2061|3061|4061|0|0,,
13,542005,-1,1002,26,100,5,1061|2061|3061|4061|0|0,,
14,542006,-1,1002,26,100,5,1061|2061|3061|4061|0|0,,
15,542007,-1,1002,26,100,5,1061|2061|3061|4061|0|0,,
16,542008,-1,1002,26,100,5,1061|2061|3061|4061|0|0,,
17,543001,-1,1002,26,100,5,1061|2061|3061|4061|0|0,,
18,543002,-1,1002,26,100,5,1061|2061|3061|4061|0|0,,
19,543003,-1,1002,26,100,5,1061|2061|3061|4061|0|0,,
20,543004,-1,1002,26,100,5,1061|2061|3061|4061|0|0,,
21,543005,-1,1002,26,100,5,1061|2061|3061|4061|0|0,,
22,543006,-1,1002,26,100,5,1061|2061|3061|4061|0|0,,
23,543007,-1,1002,26,100,5,1061|2061|3061|4061|0|0,,
24,543008,-1,1002,26,100,5,1061|2061|3061|4061|0|0,,
25,544001,-1,1002,26,100,5,1061|2061|3061|4061|0|0,,
26,544002,-1,1002,26,100,5,1061|2061|3061|4061|0|0,,
27,544003,-1,1002,26,100,5,1061|2061|3061|4061|0|0,,
28,544004,-1,1002,26,100,5,1061|2061|3061|4061|0|0,,
29,544005,-1,1002,26,100,5,1061|2061|3061|4061|0|0,,
30,544006,-1,1002,26,100,5,1061|2061|3061|4061|0|0,,
31,544007,-1,1002,26,100,5,1061|2061|3061|4061|0|0,,
32,544008,-1,1002,26,100,5,1061|2061|3061|4061|0|0,,
33,545001,-1,1002,26,100,5,1061|2061|3061|4061|0|0,,
34,545002,-1,1002,26,100,5,1061|2061|3061|4061|0|0,,
35,545003,-1,1002,26,100,5,1061|2061|3061|4061|0|0,,
36,546001,-1,1002,26,100,5,1061|2061|3061|4061|0|0,,
37,546002,-1,1002,26,100,5,1061|2061|3061|4061|0|0,,
38,546003,-1,1002,26,100,5,1061|2061|3061|4061|0|0,,
39,51001,-1,1001|1002|1003|1004,187|150|135|100,100,5,1061|2061|3061|4061|0|0,,
40,51002,-1,1001|1002|1003|1004,187|150|135|100,100,5,1061|2061|3061|4061|0|0,,
41,51003,-1,1001|1002|1003|1004,187|150|135|100,100,5,1061|2061|3061|4061|0|0,,
42,51004,-1,1001|1002|1003|1004,187|150|135|100,100,5,1061|2061|3061|4061|0|0,,
43,51005,-1,1001|1002|1003|1004,187|150|135|100,100,5,1061|2061|3061|4061|0|0,,
44,51006,-1,1001|1002|1003|1004,187|150|135|100,100,5,1061|2061|3061|4061|0|0,,
45,51007,-1,1001|1002|1003|1004,187|150|135|100,100,5,1061|2061|3061|4061|0|0,,
46,51008,-1,1001|1002|1003|1004,187|150|135|100,100,5,1061|2061|3061|4061|0|0,,
47,51009,-1,1001|1002|1003|1004,187|150|135|100,100,5,1061|2061|3061|4061|0|0,,
48,51010,-1,1001|1002|1003|1004,187|150|135|100,100,5,1061|2061|3061|4061|0|0,,
49,52001,-1,1001|1002|1003|1004,187|150|135|100,100,5,1061|2061|3061|4061|0|0,,
50,52002,-1,1001|1002|1003|1004,187|150|135|100,100,5,1061|2061|3061|4061|0|0,,
51,52003,-1,1001|1002|1003|1004,187|150|135|100,100,5,1061|2061|3061|4061|0|0,,
52,52004,-1,1001|1002|1003|1004,187|150|135|100,100,5,1061|2061|3061|4061|0|0,,
53,52005,-1,1001|1002|1003|1004,187|150|135|100,100,5,1061|2061|3061|4061|0|0,,
54,52006,-1,1001|1002|1003|1004,187|150|135|100,100,5,1061|2061|3061|4061|0|0,,
55,52007,-1,1001|1002|1003|1004,187|150|135|100,100,5,1061|2061|3061|4061|0|0,,
56,52008,-1,1001|1002|1003|1004,187|150|135|100,100,5,1061|2061|3061|4061|0|0,,
57,52009,-1,1001|1002|1003|1004,187|150|135|100,100,5,1061|2061|3061|4061|0|0,,
58,52010,-1,1001|1002|1003|1004,187|150|135|100,100,5,1061|2061|3061|4061|0|0,,
59,53001,-1,1001|1002|1003|1004,187|150|135|100,100,5,1061|2061|3061|4061|0|0,,
60,53002,-1,1001|1002|1003|1004,187|150|135|100,100,5,1061|2061|3061|4061|0|0,,
61,53003,-1,1001|1002|1003|1004,187|150|135|100,100,5,1061|2061|3061|4061|0|0,,
62,53004,-1,1001|1002|1003|1004,187|150|135|100,100,5,1061|2061|3061|4061|0|0,,
63,53005,-1,1001|1002|1003|1004,187|150|135|100,100,5,1061|2061|3061|4061|0|0,,
64,53006,-1,1001|1002|1003|1004,187|150|135|100,100,5,1061|2061|3061|4061|0|0,,
65,53007,-1,1001|1002|1003|1004,187|150|135|100,100,5,1061|2061|3061|4061|0|0,,
