id,level,win_time,style,awards,score,box_partner,box_equip,box_buff,chance_hard,chance_reach
1,0,0,1,36#1|1#50000,1,1001,,,1,1
2,1,1,1,36#1|1#75000,3,1002,1,,0.95,0.94
3,2,2,2,36#1|1#100000,5,1002,,1,0.9,0.865
4,3,3,2,36#2|1#125000,8,1002,2,,0.83,0.761
5,4,4,2,36#3|1#150000,11,1003,,2,0.68,0.625
6,5,5,2,36#4|1#200000,15,1003,2,,0.68,0.425
7,6,6,3,36#4|1#250000,20,1003,,3,0.64,0.289
8,7,7,3,36#5|1#300000,26,1003,3,,0.6,0.185
9,8,8,3,29#1|36#5|1#350000,33,1004,,4,0.45,0.11
10,9,9,4,29#1|36#6|1#400000,41,1004,3,,0.3,0.05
11,10,10,4,29#2|36#8|1#500000,50,,,,,0.015
