id,name,lv,server,avatar_id,show_id,partner_ids,equip_ids,buff_ids,treasure_level
1,Alex,124,204,20001031,1101479242,1|22|17|4|25|12,|||||,|||,1
2,WoW,232,4,1015,1100879242,12|14|3|31|20|38,|||||,|||,1
3,RobotB,92,16,20001050,1103170562,2|2|3|3|6|6,|||||,|||,1
4,RobotB,92,16,20001050,1103170562,33|34|35|36|37|38,|||||,|||,1
5,footie,72,14,20001043,1105624301,45|44|3|6|5|6,|11||||,|||,2
6,Alex,124,204,20001031,1101479242,61|2|33|24|13|42,17|||||,|||,2
7,footie,72,14,20001043,1105624301,69|12|13|30|27|12,||||6|,|||,2
8,WoW,232,4,1015,1100879242,18|20|21|19|62|63,|||||23,101|||,3
9,f2win,162,109,1029,1101013427,36|34|35|33|37|36,|||||22,201|||,3
10,Faker,108,301,20001037,1102516091,78|8|27|24|15|6,7|||||,501|||,3
11,RobotB,92,16,20001050,1103170562,90|2|6|65|15|2,5||12|||,1001|||,4
12,Faker,108,301,20001037,1102516091,75|76|10|21|15|2,7|6||||,201|||,4
13,footie,72,14,20001043,1105624301,81|79|66|67|11|3,27||16|||,101|102||,5
14,Alex,124,204,20001031,1101479242,88|47|58|25|23|4,12|||20||,701|1102||,5
15,WoW,232,4,1015,1100879242,84|49|95|4|39|76,40||12|||7,101|1002||,6
16,RobotB,92,16,20001050,1103170562,38|103|78|40|15|36,|80|34|||10,601|402||,6
17,Faker,108,301,20001037,1102516091,65|40|76|89|52|77,2||25||21|,1001|1302|103|,7
18,Alex,124,204,20001031,1101479242,80|55|68|73|97|49,17||10||6|,101|202|603|,7
19,f2win,162,109,1029,1101013427,106|93|100|76|81|79,12|34|3|||9,901|802|203|,8
20,footie,72,14,20001043,1105624301,103|98|104|105|109|97,6|20|||45|31,1101|502|103|,8
21,Faker,108,301,20001037,1102516091,110|89|86|76|87|69,62|28|||41|14,102|702|1003|104,9
22,f2win,162,109,1029,1101013427,80|85|80|95|78|109,52|12|||67|20,601|102|1003|804,9
23,WoW,232,4,1015,1100879242,109|94|83|108|91|84,31|74||12|21|26,901|1202|203|104,10
24,f2win,162,109,1029,1101013427,87|82|92|95|107|110,12|29||18|81|79,701|702|103|1004,11
