id,name,avatar_id,battle_id,skill_ids,hp
1,,751003,2100036,12101,300000702744.0
2,,756004,2100037,12201,299733158848.0
3,,754006,2100038,,291764795000.0
4,,753009,2100039,12301,299743340600.0
5,,751003,2100017,12401,240000562200.0
6,,755003,2100040,,305073891664.0
7,,751003,2100036,12501,300000702744.0
8,,756004,2100037,12601,299733158848.0
9,,756004,2100018,,239786527080.0
10,,754006,2100038,12101,291764795000.0
11,,753009,2100039,12201,299743340600.0
12,,755003,2100040,,305073891664.0
13,,751003,2100007,12301,150000351372.0
14,,756004,2100008,12401,149866579424.0
15,,754006,2100009,,157882397500.0
16,,753009,2100010,12501,149871670300.0
17,,751003,2100012,12601,120000281100.0
18,,756004,2100013,,119893263540.0
19,,754006,2100014,12101,126305918000.0
20,,754006,2100019,12201,252611836000.0
21,,755003,2100011,,152536945832.0
22,,751003,2100007,12301,150000351372.0
23,,756004,2100037,12401,299733158848.0
24,,754006,2100038,,291764795000.0
25,,753009,2100039,12501,299743340600.0
26,,755003,2100040,12601,305073891664.0
27,,751003,2100036,,300000702744.0
28,,756004,2100037,12101,299733158848.0
29,,754006,2100038,12201,291764795000.0
30,,753009,2100020,,239794672480.0
31,,753009,2100039,12301,299743340600.0
32,,755003,2100011,12401,152536945832.0
33,,751003,2100007,,150000351372.0
34,,756004,2100008,12501,149866579424.0
35,,754006,2100009,12601,157882397500.0
36,,753009,2100010,,149871670300.0
37,,751003,2100012,12101,120000281100.0
38,,755003,2100011,12201,152536945832.0
39,,751003,2100007,,150000351372.0
40,,756004,2100013,12301,119893263540.0
41,,754006,2100014,12401,126305918000.0
42,,756004,2100008,,149866579424.0
43,,755003,2100021,12501,244059113332.0
44,,751003,2100017,12601,240000562200.0
45,,754006,2100038,,291764795000.0
46,,753009,2100039,12101,299743340600.0
47,,755003,2100040,12201,305073891664.0
48,,751003,2100036,,300000702744.0
49,,756004,2100018,12301,239786527080.0
50,,756004,2100037,12401,299733158848.0
51,,754006,2100038,,291764795000.0
52,,753009,2100039,12501,299743340600.0
53,,755003,2100040,12601,305073891664.0
54,,751003,2100036,,300000702744.0
55,,756004,2100037,12101,299733158848.0
56,,754006,2100019,12201,252611836000.0
57,,754006,2100009,,157882397500.0
58,,753009,2100010,12301,149871670300.0
59,,755003,2100011,12401,152536945832.0
60,,751003,2100012,,120000281100.0
61,,756004,2100013,12501,119893263540.0
62,,754006,2100014,12601,126305918000.0
63,,753009,2100020,,239794672480.0
64,,751003,2100007,12101,150000351372.0
65,,756004,2100008,12201,149866579424.0
66,,754006,2100009,,157882397500.0
67,,755003,2100021,12301,244059113332.0
68,,751003,2100017,12401,240000562200.0
69,,753009,2100039,,299743340600.0
70,,755003,2100040,12501,305073891664.0
71,,751003,2100036,12601,300000702744.0
72,,756004,2100037,,299733158848.0
73,,756004,2100018,12101,239786527080.0
74,,754006,2100009,12201,157882397500.0
75,,753009,2100010,,149871670300.0
76,,755003,2100011,12301,152536945832.0
77,,751003,2100007,12401,150000351372.0
78,,756004,2100008,,149866579424.0
79,,751003,2100012,12501,120000281100.0
80,,754006,2100038,12601,291764795000.0
81,,756004,2100013,,119893263540.0
82,,753009,2100010,12101,149871670300.0
83,,755003,2100011,12201,152536945832.0
84,,754006,2100014,,126305918000.0
85,,751003,2100007,12301,150000351372.0
86,,756004,2100037,12401,299733158848.0
87,,754006,2100009,,157882397500.0
88,,753009,2100039,12501,299743340600.0
89,,754006,2100019,12601,252611836000.0
90,,751003,2100012,,120000281100.0
91,,755003,2100011,12101,152536945832.0
92,,751003,2100007,12201,150000351372.0
93,,756004,2100037,,299733158848.0
94,,756004,2100013,12301,119893263540.0
95,,753009,2100020,12401,239794672480.0
96,,754006,2100009,,157882397500.0
97,,753009,2100039,12501,299743340600.0
98,,754006,2100014,12601,126305918000.0
99,,755003,2100011,,152536945832.0
100,,751003,2100036,12101,300000702744.0
101,,756004,2100037,12201,299733158848.0
102,,754006,2100038,,291764795000.0
103,,753009,2100010,12301,149871670300.0
104,,755003,2100011,12401,152536945832.0
105,,751003,2100036,,300000702744.0
106,,755003,2100021,12501,244059113332.0
107,,756004,2100037,12601,299733158848.0
108,,754006,2100038,,291764795000.0
109,,753009,2100039,12101,299743340600.0
110,,755003,2100040,12201,305073891664.0
111,,751003,2100031,,1500003513750.0
112,,756004,2100032,12301,1498665794270.0
113,,754006,2100033,12401,1578823975000.0
114,,751003,2100041,,1200002835000.0
115,,756004,2100042,12501,1198932635412.0
116,,754006,2100028,12601,315764795000.0
117,,753009,2100029,,299743340600.0
118,,755003,2100045,12101,1220295566670.0
119,,751003,2100041,12201,1200002835000.0
120,,756004,2100042,,1198932635412.0
121,,754006,2100043,12301,1263059180000.0
122,,753009,2100029,12401,299743340600.0
123,,755003,2100045,,1220295566670.0
124,,751003,2100041,12501,1200002835000.0
125,,756004,2100027,12601,299733158852.0
126,,754006,2100043,,1263059180000.0
127,,753009,2100044,12101,1198973362400.0
128,,755003,2100030,12201,305073891664.0
129,,751003,2100026,,375000878430.0
130,,756004,2100027,12301,299733158852.0
131,,754006,2100043,12401,1263059180000.0
132,,753009,2100029,,299743340600.0
133,,755003,2100045,12501,1220295566670.0
134,,751003,2100026,12601,299733158852.0
135,,756004,2100027,,374666448560.0
136,,753009,2100034,12101,1498716703000.0
137,,755003,2100035,12201,1525369458330.0
1001,,751003,2100001,,270000632475.0
2001,,756004,2100002,,269759842965.0
3001,,754006,2100003,,284188315500.0
4001,,755003,2100004,,274566502498.0
5001,,753009,2100005,,269769006540.0
6001,,2000006,2100006,,7789824000000.0
