id,awards,cost,limit,is_hide,awards_icon,awards_desc,red_mark_setting,is_new
1,4501002#1,114#3600,1,0,icon_ranger_png,-1,1,0
2,6701#1,114#3600,2,0,,,1,0
3,930194#50,114#2900,-1,0,,,0,0
4,93#1,114#2600,4,0,,,0,0
5,7164#1,114#2500,1,0,,,1,0
6,7168#1,114#2500,1,0,,,1,0
7,930196#50,114#2500,-1,0,,,0,0
8,930192#50,114#2400,-1,0,,,0,0
9,930182#50,114#1800,1,0,,,0,0
10,14#8000,114#1200,4,0,,,0,0
11,1#20000000,114#1000,4,0,,,0,0
12,9#55000000,114#1000,4,0,,,0,0
13,6090#1,114#900,2,0,,,0,0
14,20#1,114#300,-1,0,,,0,0
15,29#1,114#120,-1,0,,,0,0
16,36#1,114#100,-1,0,,,0,0
17,114#1,75#1,-1,1,,,0,0
18,10#500,114#80,-1,0,,,0,0
19,9#50000,114#1,-1,0,,,0,0
