id,award,cost,limit,shop_rank
1,29#10,317#12,2,1
2,36#10,317#8,2,1
3,10#2000,317#3,99,1
4,14#2000,317#3,99,1
5,9#1000000,317#1,99,1
6,1#1000000,317#1,99,1
7,93#1,317#25,1,2
8,940004#50,317#15,2,2
9,20#5,317#12,4,2
10,170#10,317#10,2,2
11,6000#100,317#5,10,2
12,216#100,317#4,10,2
13,4101039#1,317#40,1,3
14,93#1,317#25,2,3
15,259#10,317#12,2,3
16,73#10,317#12,2,3
17,199#1000,317#5,10,3
18,198#2000,317#2,10,3
19,940052#50,317#400,1,4
20,4601024#1,317#300,1,4
21,940046#50,317#200,1,4
22,6743#1,317#160,1,4
23,4501002#1,317#100,1,4
24,4102030#1,317#90,1,4
25,976001#50,317#70,1,4
26,4102024#1,317#60,1,4
27,4102008#1,317#50,1,4
