id,awards,cost,limit,type,is_new
1,6725#1|73#30,214#210|213#300,1,1,1
2,6701#1|73#10,214#185|213#600,1,1,
3,4501002#1|73#10,214#150|213#400,1,1,
4,4101008#1,212#1000,1,1,
5,4102007#1,212#500,4,1,
6,4102018#1,214#120|213#100,1,1,
7,93#1,212#400,1,1,
8,4204006#1,212#60,10,1,
9,4205001#1,212#15,10,1,
10,4203003#1,212#6,10,1,
11,940004#1,214#1,999,1,
12,940002#2,213#5,999,1,
13,940002#2,212#5,999,1,
14,212#150|20#4,2#1500,1,2,
15,213#100|940004#50,2#2000,2,2,
16,214#30|930191#50,2#3500,1,2,
