id,star,awards,cost,giftbag_id,limit_times
1,5,1#500000|36#5,,,1
2,5,1#1000000|10#3000,2#500,,3
3,6,940013#50|10#1000,,1600101,2
4,7,9#1000000|36#5,,,1
5,7,9#1500000|10#5000,2#800,,3
6,8,14#4000|36#5,,1600102,1
7,9,29#5|36#5,,1600103,1
8,10,198#6000|199#1500,,1600104,1
9,11,940004#50|73#10,,,1
10,11,73#20|940033#50|940013#50,2#5000,,1
11,12,940006#50|73#10,,1600105,1
12,13,940005#50|73#10,,1600106,1
13,14,36#20|73#10,,1600107,1
14,15,956099#50|73#10,,,1
15,15,29#10|170#30|956001#50,2#7000,,1
