id,award,weight,times
1,940002#50|73#5|20#1|29#2,100|100|400|400,0
2,29#1|36#1|27#80|10#600|4#1200,200|350|150|150|150,0
3,29#1|36#1|27#80|10#600|4#1200,200|350|150|150|150,0
4,36#1|4#600|26#200|10#300|14#600,80|100|160|100|160,0
5,36#1|4#600|26#200|10#300|14#600,80|100|160|100|160,0
6,36#1|4#600|26#200|10#300|14#600,80|100|160|100|160,0
7,940001#30|35#2|1#400000|9#400000,250|250|250|250,0
8,940001#30|35#2|1#400000|9#400000,250|250|250|250,0
9,940001#30|35#2|1#400000|9#400000,250|250|250|250,0
10,940001#30|35#2|1#400000|9#400000,250|250|250|250,0
11,20001043#1,,1
12,930102#50,,2
13,7131#1,,3
14,930191#50,,4
15,20#5,,5
16,36#20,,6
17,73#15,,7
18,4101004#1,,8
19,4102007#1,,9
20,930191#50,,10
21,6707#1,,11
22,4501002#1,,12
23,73#20,,13
24,4102006#1,,14
25,4102008#1,,15
26,940046#50,,16
27,956001#50,,17
28,4501002#1,,18
29,73#30,,19
30,4102006#1,,20
31,4201003#2,,21
32,940045#50,,22
33,956001#50,,23
34,4501002#1,,24
35,73#40,,25
36,940052#50,,26
37,956099#50,,27
