id,award,type,level,limit
1,2#20,0,1,1
2,2#20,0,1,1
3,2#20,0,1,1
4,2#300,0,1,1
5,36#1,0,1,1
6,20#1,0,1,1
7,35#1,0,1,1
8,35#1,0,1,1
9,35#1,0,1,1
10,974001#2,0,1,1
11,975001#2,0,1,1
12,973001#2,0,1,1
13,973001#2,0,1,1
14,973001#2,0,1,1
15,973001#2,0,1,1
16,940002#2,0,1,1
17,940002#2,0,1,1
18,940002#2,0,1,1
19,940001#5,0,1,1
20,940001#5,0,1,1
21,940001#5,0,1,1
22,940003#10,0,1,1
23,940003#10,0,1,1
24,940003#10,0,1,1
25,4101010#1,1,18,1
26,4601017#1,1,16,1
27,4101008#1,1,14,1
28,6737#1,1,14,1
29,4402006#1,1,12,1
30,976001#50,1,10,2
31,4102007#1,1,9,4
32,4102008#1,1,9,2
33,4501002#1,1,9,1
34,930206#50,1,8,1
35,930197#50,1,8,1
36,930209#50,1,7,2
37,930204#50,1,7,2
38,930210#50,1,7,2
39,930211#50,1,7,2
40,7170#1,1,6,1
41,7166#1,1,6,1
42,7202#1,1,6,1
43,7171#1,1,6,1
44,7200#1,1,6,1
45,7179#1,1,6,1
46,258#20,1,6,2
47,4403001#1,1,5,2
48,930195#50,1,5,2
49,930188#50,1,5,2
50,930203#50,1,4,2
51,930198#50,1,4,2
52,930199#50,1,4,2
53,930200#50,1,4,2
54,93#1,1,3,3
55,198#10000,1,3,2
56,199#3000,1,3,2
57,228#1,1,3,2
58,20#10,1,2,2
59,36#30,1,2,2
60,35#150,1,2,3
61,940016#50,1,2,2
62,940015#50,1,2,2
63,940021#720,1,1,2
64,940022#720,1,1,2
65,940023#720,1,1,2
66,940024#720,1,1,2
67,73#15,1,1,10
68,940004#50,1,1,20
69,229#1,1,1,99
70,211#1,1,1,99
