id,item,cost
1,40#1,2#10
2,40#1,2#20
3,40#1,2#20
4,40#1,2#30
5,40#1,2#30
6,40#1,2#30
7,40#1,2#40
8,40#1,2#40
9,40#1,2#40
10,40#1,2#40
11,40#1,2#50
12,40#1,2#50
13,40#1,2#50
14,40#1,2#50
15,40#1,2#50
16,40#1,2#75
17,40#1,2#75
18,40#1,2#75
19,40#1,2#75
20,40#1,2#75
21,40#1,2#100
22,40#1,2#100
23,40#1,2#100
24,40#1,2#100
25,40#1,2#100
26,40#1,2#100
27,40#1,2#100
28,40#1,2#100
29,40#1,2#100
30,40#1,2#100
31,40#1,2#100
32,40#1,2#100
33,40#1,2#100
34,40#1,2#100
35,40#1,2#100
36,40#1,2#100
37,40#1,2#100
38,40#1,2#100
39,40#1,2#100
40,40#1,2#100
41,40#1,2#100
42,40#1,2#100
43,40#1,2#100
44,40#1,2#100
45,40#1,2#100
46,40#1,2#100
47,40#1,2#100
48,40#1,2#100
49,40#1,2#100
50,40#1,2#100
