id,name,avatar_png,picture_png,picture,awards
1,-1,partner_avatar_5201204,jigsaw_yinyue_swim,5|4|6|9|7|2|8|1|3,6067#1|1#200000
2,-1,partner_avatar_5600404,jigsaw_pangtong_swim,9|5|8|2|4|1|3|6|7,6067#1|9#20000
3,-1,partner_avatar_5600305,jigsaw_mijiale_swim,9|4|7|1|8|3|6|2|5,6067#1|10#80
4,-1,partner_avatar_5500506,jigsaw_luxifa_swim,2|4|9|8|3|5|6|1|7,6067#1|24#1
5,-1,partner_avatar_5101104,jigsaw_banila_swim,3|5|2|7|8|9|1|6|4,940001#10|1#200000
6,-1,partner_avatar_5300704,jigsaw_tuling_swim,2|4|1|5|8|7|3|9|6,940001#10|9#20000
7,-1,partner_avatar_5100205,jigsaw_zhanghe_swim,6|9|2|8|4|7|1|5|3,940001#10|10#80
8,-1,partner_avatar_5201103,jigsaw_luxun_swim,9|5|7|8|3|1|2|6|4,940001#10|24#1
9,-1,partner_avatar_5200302,jigsaw_xiahoudun_swim,2|4|9|8|3|5|6|1|7,940002#2|1#200000
10,-1,partner_avatar_4300702,jigsaw_weiyan_swim,9|8|6|7|2|5|3|4|1,940002#2|9#20000
11,-1,partner_avatar_5100603,jigsaw_dengai_swim,6|7|9|2|3|8|4|1|5,940002#2|10#80
12,-1,jigsaw_avatar_fangtian_swim,jigsaw_fangtian_swim,6|9|2|8|4|7|1|5|3,940002#2|24#1
13,-1,partner_avatar_5500202,jigsaw_simazhao_swim,7|5|1|6|2|9|4|3|8,6068#1|1#200000
14,-1,jigsaw_avatar_huangzhong_swim,jigsaw_huangzhong_swim,9|5|7|8|3|1|2|6|4,6068#1|9#20000
15,-1,partner_avatar_5500302,jigsaw_guojia_swim,3|5|2|7|8|9|1|6|4,6068#1|10#80
16,-1,partner_avatar_5200103,jigsaw_diaochan_swim,7|5|1|6|2|9|4|3|8,6068#1|24#1
17,-1,partner_avatar_5100405,jigsaw_degula_anniversary,6|7|9|2|3|8|4|1|5,940001#10|1#200000
18,-1,partner_avatar_5200204,jigsaw_xunyu_anniversary,2|3|6|5|8|7|9|4|1,940001#10|9#20000
19,-1,partner_avatar_5100404,jigsaw_dracula_exam,2|4|1|5|8|7|3|9|6,940001#10|10#80
20,-1,partner_avatar_5200404,jigsaw_caocao_exam,9|4|7|1|8|3|6|2|5,940001#10|24#1
21,-1,partner_avatar_5300502,jigsaw_nobunaga_exam,9|5|8|2|4|1|3|6|7,940002#2|1#200000
22,-1,jigsaw_avatar_zhugeliang_exam,jigsaw_zhugeliang_exam,9|8|6|7|2|5|3|4|1,940002#2|9#20000
23,-1,partner_avatar_5500504,jigsaw_lucifer_exam,5|4|6|9|7|2|8|1|3,940002#2|10#80
24,-1,partner_avatar_5600304,jigsaw_michael_exam,2|3|6|5|8|7|9|4|1,940002#2|24#1
