id,next_id,back_id,award1,award2,award3,award,type,icon_png,bg_png,pos,direction,text_id,is_record
1,2,20,,,,232#10,3,icon_232,4,2|320,2,23,1
2,3,1,,,,1|2|3|4|5|6|7|8|9,4,lafuli_drift_card,,2|320,2,21,
3,4,2,191#3,191#4,191#5,,2,icon_191,3,2|320,2,18,
4,5,3,940002#10,940002#20,940002#30,,1,icon_940002,1,2|320,2,17,1
5,6,4,10#500,10#1000,10#1500,,1,icon_10,1,2|320,2,11,1
6,7,5,,,,232#15,3,icon_232,4,2|320,2,23,1
7,8,6,,,,10,5,lafuli_drift_slow,,2|320,2,22,
8,9,7,940001#10,940001#20,940001#30,,1,icon_940001,2,2|320,2,16,1
9,10,8,9#650000,9#1300000,9#2000000,,1,icon_9,1,2|320,2,12,1
10,11,9,191#3,191#4,191#5,,2,icon_191,3,2|320,2,18,
11,12,10,,,,232#10,3,icon_232,4,2|320,1,23,1
12,13,11,,,,190#1,3,lafuli_drift_ticket_2,,2|320,1,20,
13,14,12,14#500,14#1000,14#1500,,1,icon_14,1,2|320,1,10,1
14,15,13,10#500,10#1000,10#1500,,1,icon_10,1,2|320,1,11,1
15,16,14,191#3,191#4,191#5,,2,icon_191,3,2|320,1,18,
16,17,15,,,,232#15,3,icon_232,4,2|320,1,23,1
17,18,16,,,,189#1,3,lafuli_drift_ticket_1,,2|320,1,19,
18,19,17,940003#20,940003#40,940003#60,,1,icon_940003,2,2|320,1,15,1
19,20,18,14#500,14#1000,14#1500,,1,icon_14,2,2|320,1,10,1
20,1,19,9#650000,9#1300000,9#2000000,,1,icon_9,2,2|320,1,12,1
21,1,,,,,,0,,0,,2,,
