id,tab,condition_ids,limit,awards,cost
1,1,,1,20001066#1,266#50
2,1,,1,36#10,266#400
3,1,,1,20#3,266#400
4,1,,1,1#2000000,266#100
5,1,,1,9#2000000,266#100
6,2,1|2|3|4|5,1,930208#50,266#600
7,2,1|2|3|4|5,1,36#10,266#400
8,2,1|2|3|4|5,1,20#3,266#400
9,2,1|2|3|4|5,1,940004#50,266#500
10,2,1|2|3|4|5,1,1#3000000,266#120
11,2,1|2|3|4|5,1,9#3000000,266#120
12,3,6|7|8|9|10|11,1,930208#50,266#600
13,3,6|7|8|9|10|11,1,20#10,266#600
14,3,6|7|8|9|10|11,1,4101028#1,266#600
15,3,6|7|8|9|10|11,1,4102018#1,266#800
16,3,6|7|8|9|10|11,1,7204#1,266#800
17,4,12|13|14|15|16,2,930208#50,266#600
18,4,12|13|14|15|16,1,4102007#1,266#1000
19,4,12|13|14|15|16,1,4102008#1,266#1200
20,4,12|13|14|15|16,1,4102018#1,266#800
21,4,12|13|14|15|16,1,4501002#1,266#1200
22,4,12|13|14|15|16,1,4402006#1,266#1600
23,5,17|18|19|20|21|22,3,930208#50,266#600
24,5,17|18|19|20|21|22,1,4402006#1,266#1600
25,5,17|18|19|20|21|22,2,4501002#1,266#1200
26,5,17|18|19|20|21|22,2,956099#50,266#1200
27,5,17|18|19|20|21|22,999,4201004#1,266#15
