id,point,awards,effect,awards2,effect2
1,5,2#50,,2#100,
2,10,2#100|170#4,,2#300|170#8,
3,15,2#150|170#4,,170#8|6092#1,0|1
4,30,2#200|170#4,,2#500|170#8,
5,40,2#250|170#4,,170#8|6092#1,0|1
6,60,2#300|170#4,,2#600|170#8,
7,80,2#300|170#10,,2#700|170#20,
8,100,2#400|170#10,,2#800|170#20,
9,120,2#400|170#10|955001#25,,2#900|170#20|956001#50,0|0|1
10,140,2#500|170#10|955001#25,,2#1000|170#20|6092#1,0|0|1
11,160,2#500|170#10|6092#1,0|0|1,2#1100|170#20|6092#1,0|0|1
12,180,2#500|170#10|956001#50,0|0|1,2#1200|170#20|4403001#1,0|0|1
