id,desc,icon_id,area_id,place,skill_id,limit,follow_id,skill_cost,text_id
1,-1,skill_icon_22,1,1|1,20210001|20210002|20210003|20210004|20210005,,,1,101001|101002|101003|101004|101005
2,-1,skill_icon_150,1,1|2,20210006|20210007|20210008|20210009|20210010,,,1,101006|101007|101008|101009|101010
3,-1,skill_icon_175,1,1|3,20210011|20210012|20210013|20210014|20210015,,,1,101011|101012|101013|101014|101015
4,-1,skill_icon_106,1,2|1,20210016|20210017|20210018|20210019|20210020,,,1,101016|101017|101018|101019|101020
5,-1,skill_icon_129,1,2|2,20210021|20210022|20210023|20210024|20210025,,,1,101021|101022|101023|101024|101025
6,-1,skill_icon_119,1,2|3,20210026|20210027|20210028|20210029|20210030,,,1,101026|101027|101028|101029|101030
7,-1,skill_icon_31,1,3|1,20210031|20210032|20210033|20210034,,9,1,101031|101032|101033|101034
8,-1,skill_icon_152,1,3|3,20210035|20210036|20210037|20210038,,9,1,101035|101036|101037|101038
9,-1,skill_icon_33,1,4|2,20210039|20210040|20210041|20210042,7#4|8#4,,1,101039|101040|101041|101042
10,-1,skill_icon_11,2,5|1,20210043|20210044|20210045|20210046|20210047,,12,1,101043|101044|101045|101046|101047
11,-1,skill_icon_16,2,5|3,20210048|20210049|20210050|20210051|20210052,,12,1,101048|101049|101050|101051|101052
12,-1,skill_icon_241,2,6|2,20210053|20210054|20210055|20210056,10#3|11#3,13|14,1,101053|101054|101055|101056
13,-1,skill_icon_212,2,7|1,20210057|20210058|20210059|20210060|20210062,12#1,15,1,101057|101058|101059|101060|101061
14,-1,skill_icon_245,2,7|3,20210064|20210065|20210066|20210067|20210069,12#1,15,1,101062|101063|101064|101065|101066
15,-1,skill_icon_244,2,8|2,20210071|20210072|20210073|20210074,13#3|14#3,,1,101067|101068|101069|101070
16,-1,skill_icon_251,3,9|1,20210075|20210076|20210077|20210078|20210079,,19,1,101071|101072|101073|101074|101075
17,-1,skill_icon_29,3,9|2,20210083|20210084|20210085|20210086|20210087,,20,1,101076|101077|101078|101079|101080
18,-1,skill_icon_5,3,9|3,20210091|20210092|20210093|20210094|20210095,,21,1,101081|101082|101083|101084|101085
19,-1,skill_icon_253,3,10|1,20210080|20210081|20210082,16#3,,1,101086|101087|101088
20,-1,skill_icon_115,3,10|2,20210088|20210089|20210090,17#3,,1,101089|101090|101091
21,-1,skill_icon_15,3,10|3,20210096|20210097|20210098,18#3,,1,101092|101093|101094
22,-1,skill_icon_230,3,11|1,20210099|20210100|20210101|20210102|20210103,,24,1,101095|101096|101097|101098|101099
23,-1,skill_icon_147,3,11|3,20210107|20210108|20210109|20210110|20210111,,25,1,101100|101101|101102|101103|101104
24,-1,skill_icon_231,3,12|1,20210104|20210105|20210106,22#3,,1,101105|101106|101107
25,-1,skill_icon_123,3,12|3,20210112|20210113|20210114,23#3,,1,101108|101109|101110
