id,name,award,add_time
1001,-1,,-1200
2001,-1,,-1200
3001,-1,10#150,
4001,-1,14#150,
5001,-1,10#160,
5002,-1,10#140,
6001,-1,14#160,
6002,-1,14#140,
7001,-1,10#160,
7002,-1,10#140,
8001,-1,14#140,
8002,-1,14#160,
9001,-1,10#160,
9002,-1,10#140,
10001,-1,940001#10,
10002,-1,,120
11001,-1,940003#40,
11002,-1,,120
12001,-1,940002#2,
12002,-1,,600
13001,-1,,-1200
14001,-1,,-1200
15001,-1,10#200,
16001,-1,24#3,
17001,-1,10#210,
17002,-1,10#190,
18001,-1,24#3,
18002,-1,24#2,
19001,-1,10#210,
19002,-1,10#190,
20001,-1,24#3,
20002,-1,24#2,
21001,-1,10#210,
21002,-1,10#190,
22001,-1,940001#10,
22002,-1,,120
23001,-1,34#4,
23002,-1,,120
24001,-1,940002#2,
24002,-1,,600
25001,-1,,-1200
26001,-1,,-1200
27001,-1,1#200000,
28001,-1,10#150,
29001,-1,1#200000,
29002,-1,1#180000,
30001,-1,10#160,
30002,-1,10#140,
31001,-1,1#200000,
31002,-1,1#180000,
32001,-1,10#140,
32002,-1,10#160,
33001,-1,1#190000,
33002,-1,1#210000,
34001,-1,940022#10,
34002,-1,,120
35001,-1,940003#30,
35002,-1,,120
36001,-1,25#1,
36002,-1,,600
37001,-1,,-1200
38001,-1,,-1200
39001,-1,1#180000,
40001,-1,34#4,
41001,-1,1#180000,
41002,-1,1#160000,
42001,-1,34#4,
42002,-1,34#3,
43001,-1,1#160000,
43002,-1,1#180000,
44001,-1,34#3,
44002,-1,34#4,
45001,-1,1#180000,
45002,-1,1#160000,
46001,-1,940021#10,
46002,-1,,120
47001,-1,940003#30,
47002,-1,,120
48001,-1,25#1,
48002,-1,,600
49001,-1,,-1200
50001,-1,,-1200
51001,-1,9#180000,
52001,-1,34#4,
53001,-1,9#180000,
53002,-1,9#160000,
54001,-1,34#4,
54002,-1,34#3,
55001,-1,9#160000,
55002,-1,9#180000,
56001,-1,34#3,
56002,-1,34#4,
57001,-1,9#180000,
57002,-1,9#160000,
58001,-1,940023#10,
58002,-1,,120
59001,-1,940002#1,
59002,-1,,120
60001,-1,25#1,
60002,-1,,600
61001,-1,,-1200
62001,-1,,-1200
63001,-1,9#180000,
64001,-1,10#150,
65001,-1,9#180000,
65002,-1,9#160000,
66001,-1,10#160,
66002,-1,10#140,
67001,-1,9#160000,
67002,-1,9#180000,
68001,-1,10#140,
68002,-1,10#160,
69001,-1,9#180000,
69002,-1,9#160000,
70001,-1,940024#10,
70002,-1,,120
71001,-1,940003#30,
71002,-1,,120
72001,-1,25#1,
72002,-1,,600
73001,-1,,-1200
74001,-1,,-1200
75001,-1,1#200000,
76001,-1,24#3,
77001,-1,1#200000,
77002,-1,1#180000,
78001,-1,24#3,
78002,-1,24#2,
79001,-1,1#200000,
79002,-1,1#180000,
80001,-1,24#2,
80002,-1,24#3,
81001,-1,1#190000,
81002,-1,1#210000,
82001,-1,940026#10,
82002,-1,,120
83001,-1,940003#30,
83002,-1,,120
84001,-1,940002#2,
84002,-1,,600
85001,-1,,-1200
86001,-1,,-1200
87001,-1,1#180000,
88001,-1,9#180000,
89001,-1,1#180000,
89002,-1,1#160000,
90001,-1,9#180000,
90002,-1,9#160000,
91001,-1,1#160000,
91002,-1,1#180000,
92001,-1,9#160000,
92002,-1,9#180000,
93001,-1,1#180000,
93002,-1,1#160000,
94001,-1,940025#10,
94002,-1,,120
95001,-1,940003#30,
95002,-1,,120
96001,-1,34#4,
96002,-1,,120
97001,-1,25#1,
97002,-1,,600
98001,-1,,-1200
99001,-1,,-1200
100001,-1,14#150,
101001,-1,34#4,
102001,-1,14#160,
102002,-1,14#140,
103001,-1,34#4,
103002,-1,34#3,
104001,-1,14#140,
104002,-1,14#160,
105001,-1,34#3,
105002,-1,34#4,
106001,-1,14#160,
106002,-1,14#140,
107001,-1,940001#10,
107002,-1,,120
108001,-1,25#1,
108002,-1,,600
109001,-1,940002#2,
109002,-1,,600
