id,award,step,average,weight,light
1,4201016#15,-1,16,0.01,
2,36#10,-1,,,
3,258#6,-1,16,0.01,
4,20#3,-1,,,
5,93#1,-1,16,0.01,1
6,4201016#15,-1,,,
7,36#10,-1,16,0.01,
8,258#6,-1,,,
9,20#3,-1,16,0.01,
10,4101030#1,-1,,,1
11,4201016#20,-1,16,0.01,
12,36#14,-1,,,
13,258#8,-1,16,0.01,
14,20#4,-1,,,
15,4102024#1,-1,16,0.01,1
16,4201016#20,-1,,,
17,36#14,-1,16,0.01,
18,258#8,-1,,,
19,20#4,-1,16,0.01,
20,4501002#1,-1,,,1
21,36#16,-1,16,0.01,
22,258#10,-1,,,
23,20#5,-1,16,0.01,
24,976001#50,-1,,,1
25,36#16,-1,16,0.01,
26,258#10,-1,,,
27,20#5,-1,16,0.01,
28,4402006#1,-1,,,1
29,36#20,-1,16,0.01,
30,258#12,-1,,,
31,20#6,-1,16,0.01,
32,4102008#1,-1,,,1
33,36#20,-1,16,0.01,
34,258#12,-1,,,
35,20#6,-1,16,0.01,
36,4101008#1,-1,,,1
37,260#600,-1,16,0.01,
38,261#60,-1,,,
39,259#12,-1,16,0.01,
40,73#100,-1,,,1
41,260#600,-1,16,0.01,
42,261#60,-1,,,
43,259#12,-1,16,0.01,
44,4501002#1,-1,,,1
45,260#700,-1,16,0.01,
46,261#70,-1,,,
47,259#14,-1,16,0.01,
48,4402006#1,-1,,,1
49,260#700,-1,16,0.01,
50,261#70,-1,,,
51,259#14,-1,16,0.01,
52,4601011#1,-1,,,1
53,260#800,-1,16,0.01,
54,261#80,-1,,,
55,259#16,-1,16,0.01,
56,4101008#1,-1,,,1
57,260#800,-1,16,0.01,
58,261#80,-1,,,
59,259#16,-1,16,0.01,
60,4101010#1,-1,,,1
61,73#10,-1,16,0.01,
62,170#10,-1,,,
63,259#10,-1,16,0.01,
64,976001#25,-1,,,
65,73#10,-1,16,0.01,
66,170#10,-1,,,
67,259#10,-1,16,0.01,
68,976001#25,-1,,,
69,73#10,-1,16,0.01,
70,170#10,-1,,,
71,259#10,-1,16,0.01,
72,976001#25,-1,,,
73,73#10,-1,16,0.01,
74,170#10,-1,,,
75,259#10,-1,16,0.01,
76,976001#25,-1,,,
77,73#10,-1,16,0.01,
78,170#10,-1,,,
79,259#10,-1,16,0.01,
80,976001#25,-1,,,
81,73#10,-1,16,0.01,
82,170#10,-1,,,
83,259#10,-1,16,0.01,
84,976001#25,-1,,,
85,73#10,-1,16,0.01,
86,170#10,-1,,,
87,259#10,-1,16,0.01,
88,976001#25,-1,,,
89,73#10,-1,16,0.01,
90,170#10,-1,,,
91,259#10,-1,16,0.01,
92,976001#25,-1,,,
93,73#10,-1,16,0.01,
94,170#10,-1,,,
95,259#10,-1,16,0.01,
96,976001#25,-1,,,
97,73#10,-1,16,0.01,
98,170#10,-1,,,
99,259#10,-1,16,0.01,
100,976001#25,-1,,,
