id,mission_desc,complete_value,awards,activity_id,type,getway
1,-1,4,238#1,214,0,
2,-1,1,237#5,214,0,10
3,-1,5,237#5,214,0,5
4,-1,2,237#5,214,0,94
5,-1,1,237#5,214,0,124
6,-1,6,239#15|238#6,214,1,
7,-1,5,239#5|238#2,214,1,
8,-1,4000,239#5|238#2,214,1,2
9,-1,300,239#5|238#2,20,1,23
10,-1,600,239#10|238#5,20,1,23
11,-1,200,239#5|238#2,168,1,7
12,-1,500,239#10|238#5,168,1,7
13,-1,40,239#5|238#2,16,1,8
14,-1,80,239#10|238#5,16,1,8
15,-1,40,239#5|238#2,166,1,
16,-1,80,239#10|238#5,166,1,
17,-1,1,239#5|238#1,214,1,7
18,-1,1,239#10|238#2,214,1,30
