id,name,avatar,partner_model,show_ids,atk_id,type,hp,atk,arm,map_id,awards
10001,-1,partner_avatar_41001,4100101,41001,4100100,1,1350,120,50,1,237#3|239#6
10002,-1,partner_avatar_41002,4100201,41002,4100200,1,1350,120,50,1,237#3|239#6
10003,-1,partner_avatar_41003,4100301,41003|651013,4100300,1,1350,120,50,1,237#3|239#6
10004,-1,partner_avatar_41004,4100401,41004|651014,4100400,1,1350,120,50,1,237#3|239#6
10005,-1,partner_avatar_41005,4100501,41005,4100500,1,1350,120,50,1,237#3|239#6
10006,-1,partner_avatar_41006,4100601,41006,4100600,1,2700,400,100,2,237#3|239#6
10007,-1,partner_avatar_41007,4100701,41007,4100700,1,2700,400,100,2,237#3|239#6
10008,-1,partner_avatar_41008,4100801,41008|651012,4100800,1,2700,400,100,2,237#3|239#6
10009,-1,partner_avatar_42001,4200101,42001,4200100,1,2700,400,100,2,237#3|239#6
10010,-1,partner_avatar_42002,4200201,42002,4200200,1,2700,400,100,2,237#3|239#6
10011,-1,partner_avatar_42003,4200301,42003|652015,4200300,1,12924,1915,479,3,237#3|239#6
10012,-1,partner_avatar_42004,4200401,42004|652012,4200400,1,12924,1915,479,3,237#3|239#6
10013,-1,partner_avatar_42005,4200501,42005,4200500,1,12924,1915,479,3,237#3|239#6
10014,-1,partner_avatar_42006,4200601,42006,4200600,1,12924,1915,479,3,237#3|239#6
10015,-1,partner_avatar_42007,4200701,42007,4200700,1,12924,1915,479,3,237#3|239#6
10016,-1,partner_avatar_42008,4200801,42008|652016,4200800,1,19782,2931,733,4,237#3|239#6
10017,-1,partner_avatar_43001,4300101,43001,4300100,1,19782,2931,733,4,237#3|239#6
10018,-1,partner_avatar_43002,4300201,43002|653013,4300200,1,19782,2931,733,4,237#3|239#6
10019,-1,partner_avatar_43003,4300301,43003,4300300,1,19782,2931,733,4,237#3|239#6
10020,-1,partner_avatar_42002,4200201,42002,4200200,1,19782,2931,733,4,237#3|239#6
10021,-1,partner_avatar_43005,4300501,43005,4300500,1,26640,3947,987,5,237#3|239#6
10022,-1,partner_avatar_43006,4300601,43006|653012,4300600,1,26640,3947,987,5,237#3|239#6
10023,-1,partner_avatar_43007,4300701,43007|653014,4300700,1,26640,3947,987,5,237#3|239#6
10024,-1,partner_avatar_43008,4300801,43008,4300800,1,26640,3947,987,5,237#3|239#6
10025,-1,partner_avatar_44001,4400101,44001,4400100,1,26640,3947,987,5,237#3|239#6
10026,-1,partner_avatar_44002,4400201,44002,4400200,1,33498,4963,1241,6,237#3|239#6
10027,-1,partner_avatar_44003,4400301,44003,4400300,1,33498,4963,1241,6,237#3|239#6
10028,-1,partner_avatar_44004,4400401,44004,4400400,1,33498,4963,1241,6,237#3|239#6
10029,-1,partner_avatar_44005,4400501,44005|654012,4400500,1,33498,4963,1241,6,237#3|239#6
10030,-1,partner_avatar_44006,4400601,44006,4400600,1,33498,4963,1241,6,237#3|239#6
10031,-1,partner_avatar_44007,4400701,44007|654015,4400700,1,40356,5979,1495,7,237#3|239#6
10032,-1,partner_avatar_44008,4400801,44008|654014,4400800,1,40356,5979,1495,7,237#3|239#6
10033,-1,partner_avatar_41001,4100101,41001,4100100,1,40356,5979,1495,7,237#3|239#6
10034,-1,partner_avatar_41002,4100201,41002,4100200,1,40356,5979,1495,7,237#3|239#6
10035,-1,partner_avatar_41003,4100301,41003|651013,4100300,1,40356,5979,1495,7,237#3|239#6
10036,-1,partner_avatar_41004,4100401,41004|651014,4100400,1,47214,6995,1749,8,237#3|239#6
10037,-1,partner_avatar_41005,4100501,41005,4100500,1,47214,6995,1749,8,237#3|239#6
10038,-1,partner_avatar_41006,4100601,41006,4100600,1,47214,6995,1749,8,237#3|239#6
10039,-1,partner_avatar_41007,4100701,41007,4100700,1,47214,6995,1749,8,237#3|239#6
10040,-1,partner_avatar_41008,4100801,41008|651012,4100800,1,47214,6995,1749,8,237#3|239#6
10041,-1,partner_avatar_42001,4200101,42001,4200100,1,54063,8010,2003,9,237#3|239#6
10042,-1,partner_avatar_42002,4200201,42002,4200200,1,54063,8010,2003,9,237#3|239#6
10043,-1,partner_avatar_42003,4200301,42003|652015,4200300,1,54063,8010,2003,9,237#3|239#6
10044,-1,partner_avatar_42004,4200401,42004|652012,4200400,1,54063,8010,2003,9,237#3|239#6
10045,-1,partner_avatar_42005,4200501,42005,4200500,1,54063,8010,2003,9,237#3|239#6
10046,-1,partner_avatar_42006,4200601,42006,4200600,1,60921,9026,2257,10,237#3|239#6
10047,-1,partner_avatar_42007,4200701,42007,4200700,1,60921,9026,2257,10,237#3|239#6
10048,-1,partner_avatar_42008,4200801,42008|652016,4200800,1,60921,9026,2257,10,237#3|239#6
10049,-1,partner_avatar_43001,4300101,43001,4300100,1,60921,9026,2257,10,237#3|239#6
10050,-1,partner_avatar_43002,4300201,43002|653013,4300200,1,60921,9026,2257,10,237#3|239#6
10051,-1,partner_avatar_43003,4300301,43003,4300300,1,84708,12550,3138,11,237#3|239#6
10052,-1,partner_avatar_42008,4200801,42008|652016,4200800,1,84708,12550,3138,11,237#3|239#6
10053,-1,partner_avatar_43005,4300501,43005,4300500,1,84708,12550,3138,11,237#3|239#6
10054,-1,partner_avatar_43006,4300601,43006|653012,4300600,1,84708,12550,3138,11,237#3|239#6
10055,-1,partner_avatar_43007,4300701,43007|653014,4300700,1,84708,12550,3138,11,237#3|239#6
10056,-1,partner_avatar_43008,4300801,43008,4300800,1,93456,13845,3461,12,237#3|239#6
10057,-1,partner_avatar_44001,4400101,44001,4400100,1,93456,13845,3461,12,237#3|239#6
10058,-1,partner_avatar_44002,4400201,44002,4400200,1,93456,13845,3461,12,237#3|239#6
10059,-1,partner_avatar_44003,4400301,44003,4400300,1,93456,13845,3461,12,237#3|239#6
10060,-1,partner_avatar_44004,4400401,44004,4400400,1,93456,13845,3461,12,237#3|239#6
10061,-1,partner_avatar_44005,4400501,44005|654012,4400500,1,102321,15158,3790,13,237#3|239#6
10062,-1,partner_avatar_44006,4400601,44006,4400600,1,102321,15158,3790,13,237#3|239#6
10063,-1,partner_avatar_44007,4400701,44007|654015,4400700,1,102321,15158,3790,13,237#3|239#6
10064,-1,partner_avatar_44008,4400801,44008|654014,4400800,1,102321,15158,3790,13,237#3|239#6
10065,-1,partner_avatar_41001,4100101,41001,4100100,1,102321,15158,3790,13,237#3|239#6
10066,-1,partner_avatar_41002,4100201,41002,4100200,1,111222,16478,4120,14,237#3|239#6
10067,-1,partner_avatar_41003,4100301,41003|651013,4100300,1,111222,16478,4120,14,237#3|239#6
10068,-1,partner_avatar_41004,4100401,41004|651014,4100400,1,111222,16478,4120,14,237#3|239#6
10069,-1,partner_avatar_41005,4100501,41005,4100500,1,111222,16478,4120,14,237#3|239#6
10070,-1,partner_avatar_41006,4100601,41006,4100600,1,111222,16478,4120,14,237#3|239#6
10071,-1,partner_avatar_41007,4100701,41007,4100700,1,120141,17799,4450,15,237#3|239#6
10072,-1,partner_avatar_41008,4100801,41008|651012,4100800,1,120141,17799,4450,15,237#3|239#6
10073,-1,partner_avatar_42001,4200101,42001,4200100,1,120141,17799,4450,15,237#3|239#6
10074,-1,partner_avatar_42002,4200201,42002,4200200,1,120141,17799,4450,15,237#3|239#6
10075,-1,partner_avatar_42003,4200301,42003|652015,4200300,1,120141,17799,4450,15,237#3|239#6
10076,-1,partner_avatar_42004,4200401,42004|652012,4200400,1,129087,19123,4781,16,237#3|239#6
10077,-1,partner_avatar_42005,4200501,42005,4200500,1,129087,19123,4781,16,237#3|239#6
10078,-1,partner_avatar_42006,4200601,42006,4200600,1,129087,19123,4781,16,237#3|239#6
10079,-1,partner_avatar_42007,4200701,42007,4200700,1,129087,19123,4781,16,237#3|239#6
10080,-1,partner_avatar_42008,4200801,42008|652016,4200800,1,129087,19123,4781,16,237#3|239#6
10081,-1,partner_avatar_43001,4300101,43001,4300100,1,138060,20453,5113,17,237#3|239#6
10082,-1,partner_avatar_43002,4300201,43002|653013,4300200,1,138060,20453,5113,17,237#3|239#6
10083,-1,partner_avatar_43003,4300301,43003,4300300,1,138060,20453,5113,17,237#3|239#6
10084,-1,partner_avatar_42005,4200501,42005,4200500,1,138060,20453,5113,17,237#3|239#6
10085,-1,partner_avatar_43005,4300501,43005,4300500,1,138060,20453,5113,17,237#3|239#6
10086,-1,partner_avatar_43006,4300601,43006|653012,4300600,1,147051,21784,5446,18,237#3|239#6
10087,-1,partner_avatar_43007,4300701,43007|653014,4300700,1,147051,21784,5446,18,237#3|239#6
10088,-1,partner_avatar_43008,4300801,43008,4300800,1,147051,21784,5446,18,237#3|239#6
10089,-1,partner_avatar_44001,4400101,44001,4400100,1,147051,21784,5446,18,237#3|239#6
10090,-1,partner_avatar_44002,4400201,44002,4400200,1,147051,21784,5446,18,237#3|239#6
