id,name,name1,avatar,partner_model,atk_id,grade,min_lv,max_lv,base_atk,base_hp,base_arm,grow_atk,grow_hp,grow_arm,lv_cost1,lv_cost2,skill_id,skill_lv,decompose,skill_desc_id,not_show
101001,-1,55005,partner_avatar_5500504,5500504,5500500,1,1,30,100,500,50,100,500,50,239#10,239#0,,,,,1
101002,-1,11001,partner_avatar_11001,1100101,1100100,1,1,30,90,550,50,90,550,50,239#10,239#0,,,239#3,,
101003,-1,11002,partner_avatar_11002,1100201,1100200,1,1,30,100,600,40,100,600,40,239#10,239#0,,,239#3,,
101004,-1,11003,partner_avatar_11003,1100301,1100300,1,1,30,120,500,40,120,500,40,239#10,239#0,,,239#3,,
101005,-1,12001,partner_avatar_12001,1200101,1200100,1,1,30,110,450,50,110,450,50,239#10,239#0,,,239#3,,
101006,-1,12002,partner_avatar_12002,1200201,1200200,1,1,30,90,450,60,90,450,60,239#10,239#0,,,239#3,,
101007,-1,12003,partner_avatar_12003,1200301,1200300,1,1,30,80,500,60,80,500,60,239#10,239#0,,,239#3,,
101008,-1,13001,partner_avatar_13001,1300101,1300100,1,1,30,90,550,50,90,550,50,239#10,239#0,,,239#3,,
101009,-1,13002,partner_avatar_13002,1300201,1300200,1,1,30,120,500,40,120,500,40,239#10,239#0,,,239#3,,
101010,-1,13003,partner_avatar_13003,1300301,1300300,1,1,30,90,450,60,90,450,60,239#10,239#0,,,239#3,,
101011,-1,51004,partner_avatar_5100404,5100404,2200100,2,1,40,130,750,70,130,750,70,239#14,239#0,5002|5003,2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40,239#15,1002,
101012,-1,21004,partner_avatar_21004,2100401,2100400,2,1,40,140,700,70,140,700,70,239#14,239#0,5001,2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40,239#15,1001,
101013,-1,22002,partner_avatar_22002,2200201,2200200,2,1,40,120,800,70,120,800,70,239#14,239#0,5004,2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40,239#15,1003,
101014,-1,22003,partner_avatar_22003,2200301,2200300,2,1,40,150,650,70,150,650,70,239#14,239#0,5005,2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40,239#15,1004,
101015,-1,22004,partner_avatar_22004,2200401,2200400,2,1,40,140,600,80,140,600,80,239#14,239#0,5006,2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40,239#15,1005,
101016,-1,56003,partner_avatar_5600304,5600304,5600300,3,1,50,210,950,100,210,950,100,239#20,239#0,5011|5012|5013,2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,,1008,1
101017,-1,52004,partner_avatar_5200404,5200404,2300400,3,1,50,200,1000,100,200,1000,100,239#20,239#0,5007|5008,2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,239#100,1006,
101018,-1,53005,partner_avatar_5300502,5300502,3200500,3,1,50,180,1100,100,180,1100,100,239#20,239#0,5009|5010,2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,239#100,1007,
101019,-1,54008,partner_avatar_5400804,5400804,5400800,3,1,50,200,900,110,200,900,110,239#20,239#0,5014|5015,2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,239#100,1009,
