id,skill_desc,skill_level,type1,value
5001,-1,1,2,0.001|0.002|0.003|0.004|0.005|0.006|0.007|0.008|0.009|0.01|0.011|0.012|0.013|0.014|0.015|0.016|0.017|0.018|0.019|0.02|0.021|0.022|0.023|0.024|0.025|0.026|0.027|0.028|0.029|0.03|0.031|0.032|0.033|0.034|0.035|0.036|0.037|0.038|0.039|0.04
5002,-1,1,2,0.0005|0.001|0.0015|0.002|0.0025|0.003|0.0035|0.004|0.0045|0.005|0.0055|0.006|0.0065|0.007|0.0075|0.008|0.0085|0.009|0.0095|0.01|0.0105|0.011|0.0115|0.012|0.0125|0.013|0.0135|0.014|0.0145|0.015|0.0155|0.016|0.0165|0.017|0.0175|0.018|0.0185|0.019|0.0195|0.02
5003,-1,1,4,99
5004,-1,1,3,0.001|0.002|0.003|0.004|0.005|0.006|0.007|0.008|0.009|0.01|0.011|0.012|0.013|0.014|0.015|0.016|0.017|0.018|0.019|0.02|0.021|0.022|0.023|0.024|0.025|0.026|0.027|0.028|0.029|0.03|0.031|0.032|0.033|0.034|0.035|0.036|0.037|0.038|0.039|0.04
5005,-1,1,1,0.00125|0.0025|0.00375|0.005|0.00625|0.0075|0.00875|0.01|0.01125|0.0125|0.01375|0.015|0.01625|0.0175|0.01875|0.02|0.02125|0.0225|0.02375|0.025|0.02625|0.0275|0.02875|0.03|0.03125|0.0325|0.03375|0.035|0.03625|0.0375|0.03875|0.04|0.04125|0.0425|0.04375|0.045|0.04625|0.0475|0.04875|0.05
5006,-1,1,2,0.001|0.002|0.003|0.004|0.005|0.006|0.007|0.008|0.009|0.01|0.011|0.012|0.013|0.014|0.015|0.016|0.017|0.018|0.019|0.02|0.021|0.022|0.023|0.024|0.025|0.026|0.027|0.028|0.029|0.03|0.031|0.032|0.033|0.034|0.035|0.036|0.037|0.038|0.039|0.04
5007,-1,1,3,0.001|0.002|0.003|0.004|0.005|0.006|0.007|0.008|0.009|0.01|0.011|0.012|0.013|0.014|0.015|0.016|0.017|0.018|0.019|0.02|0.021|0.022|0.023|0.024|0.025|0.026|0.027|0.028|0.029|0.03|0.031|0.032|0.033|0.034|0.035|0.036|0.037|0.038|0.039|0.04|0.041|0.042|0.043|0.044|0.045|0.046|0.047|0.048|0.049|0.05
5008,-1,1,2,0.001|0.002|0.003|0.004|0.005|0.006|0.007|0.008|0.009|0.01|0.011|0.012|0.013|0.014|0.015|0.016|0.017|0.018|0.019|0.02|0.021|0.022|0.023|0.024|0.025|0.026|0.027|0.028|0.029|0.03|0.031|0.032|0.033|0.034|0.035|0.036|0.037|0.038|0.039|0.04|0.041|0.042|0.043|0.044|0.045|0.046|0.047|0.048|0.049|0.05
5009,-1,1,3,0.0012|0.0024|0.0036|0.0048|0.006|0.0072|0.0084|0.0096|0.0108|0.012|0.0132|0.0144|0.0156|0.0168|0.018|0.0192|0.0204|0.0216|0.0228|0.024|0.0252|0.0264|0.0276|0.0288|0.03|0.0312|0.0324|0.0336|0.0348|0.036|0.0372|0.0384|0.0396|0.0408|0.042|0.0432|0.0444|0.0456|0.0468|0.048|0.0492|0.0504|0.0516|0.0528|0.054|0.0552|0.0564|0.0576|0.0588|0.06
5010,-1,1,1,0.0008|0.0016|0.0024|0.0032|0.004|0.0048|0.0056|0.0064|0.0072|0.008|0.0088|0.0096|0.0104|0.0112|0.012|0.0128|0.0136|0.0144|0.0152|0.016|0.0168|0.0176|0.0184|0.0192|0.02|0.0208|0.0216|0.0224|0.0232|0.024|0.0248|0.0256|0.0264|0.0272|0.028|0.0288|0.0296|0.0304|0.0312|0.032|0.0328|0.0336|0.0344|0.0352|0.036|0.0368|0.0376|0.0384|0.0392|0.04
5011,-1,1,3,0.001|0.002|0.003|0.004|0.005|0.006|0.007|0.008|0.009|0.01|0.011|0.012|0.013|0.014|0.015|0.016|0.017|0.018|0.019|0.02|0.021|0.022|0.023|0.024|0.025|0.026|0.027|0.028|0.029|0.03|0.031|0.032|0.033|0.034|0.035|0.036|0.037|0.038|0.039|0.04|0.041|0.042|0.043|0.044|0.045|0.046|0.047|0.048|0.049|0.05
5012,-1,1,1,0.0012|0.0024|0.0036|0.0048|0.006|0.0072|0.0084|0.0096|0.0108|0.012|0.0132|0.0144|0.0156|0.0168|0.018|0.0192|0.0204|0.0216|0.0228|0.024|0.0252|0.0264|0.0276|0.0288|0.03|0.0312|0.0324|0.0336|0.0348|0.036|0.0372|0.0384|0.0396|0.0408|0.042|0.0432|0.0444|0.0456|0.0468|0.048|0.0492|0.0504|0.0516|0.0528|0.054|0.0552|0.0564|0.0576|0.0588|0.06
5013,-1,1,5,99
5014,-1,1,2,0.001|0.002|0.003|0.004|0.005|0.006|0.007|0.008|0.009|0.01|0.011|0.012|0.013|0.014|0.015|0.016|0.017|0.018|0.019|0.02|0.021|0.022|0.023|0.024|0.025|0.026|0.027|0.028|0.029|0.03|0.031|0.032|0.033|0.034|0.035|0.036|0.037|0.038|0.039|0.04|0.041|0.042|0.043|0.044|0.045|0.046|0.047|0.048|0.049|0.05
5015,-1,1,1,0.001|0.002|0.003|0.004|0.005|0.006|0.007|0.008|0.009|0.01|0.011|0.012|0.013|0.014|0.015|0.016|0.017|0.018|0.019|0.02|0.021|0.022|0.023|0.024|0.025|0.026|0.027|0.028|0.029|0.03|0.031|0.032|0.033|0.034|0.035|0.036|0.037|0.038|0.039|0.04|0.041|0.042|0.043|0.044|0.045|0.046|0.047|0.048|0.049|0.05
