id,desc,next_achieve_id,type,complete_value,awards
1,-1,2,1,5,2#50|36#1
2,-1,3,1,10,2#100|29#1
3,-1,4,1,20,2#150|258#1
4,-1,5,1,30,2#200|20#1
5,-1,0,1,40,2#250|20#1
6,-1,7,2,1,2#20|43#8
7,-1,8,2,3,2#40|43#12
8,-1,9,2,5,2#70|43#18
9,-1,10,2,7,2#100|43#25
10,-1,11,2,9,2#200|43#40
11,-1,12,2,11,2#500|43#60
12,-1,0,2,13,2#1000|43#100
13,-1,14,3,500,940002#20
14,-1,15,3,1000,940002#30
15,-1,0,3,1500,940004#50
16,-1,17,4,10000,2#80|69#15
17,-1,18,4,20000,2#100|69#30
18,-1,0,4,50000,2#120|69#50
