id,partner_name,partner_id,score,in_use,unity_offset,scale
1,-1,52011,0,0,0|-80,0.7
2,-1,52014,2,0,0|-200,0.7
3,-1,52010,5,0,0|0,0.7
4,-1,52001,8,0,50|0,0.55
5,-1,52004,11,0,0|-50,0.55
6,-1,52012,14,0,20|-60,0.7
7,-1,55009,0,0,38|-146,0.7
8,-1,655015,3,0,20|-62,0.7
9,-1,55008,6,0,42|-118,0.7
10,-1,655013,9,0,81|-112,0.7
11,-1,55003,11,0,20|-78,0.7
12,-1,55007,14,0,-26|-53,0.7
13,-1,53015,0,0,0|0,0.65
14,-1,43007,3,0,50|-40,0.7
15,-1,53014,6,0,30|-170,0.7
16,-1,53005,9,0,-110|-300,0.65
17,-1,753010,11,0,0|-32,0.7
18,-1,753011,14,0,35|-100,0.7
19,-1,14003,0,1,26|-127,0.6
20,-1,54016,3,1,31|-159,0.65
21,-1,54007,6,1,10|-30,0.65
22,-1,54015,9,1,100|-80,0.65
23,-1,54008,11,1,25|-110,0.7
24,-1,54012,14,1,20|-90,0.7
