id,next_id,select_next_ids,select,plot,name,image_path,type,res_path,map_swap,image_xy,image_move,dialog_type,partner_avatar,picture,picture_xy,picture_scale,is_memory,scale,partner_picture_xy,show_type,disappear_type,show_time,disappear_time,position_move,swap_overlap,image_mirror,cg_show,cg_path,cg_scale,cg_show_type,cg_start_xy,cg_show_time,cg_show_xy,cg_disappear_type,cg_disappear_xy,cg_disappear_time,sound,music,expression,face,face_scale,face_pos,bubble_mirror,bubble_xy,bubble_expression,no_click_time,effect,effect_scale,effect_xy,effect_layer,effect_count,jitter
1,2,,,1,,login_beach,1,,0,,,,,,,,,,,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,,,,,login_beach,1,,0,,,,,,,,,,,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,,,,,login_beach,1,,0,,,,,,,,,,,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,,,,,login_beach,1,,0,,,,,,,,,,,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,,,,,login_beach,1,,0,,,,,,,,,,,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,,,,,login_beach,1,,0,,,,,,,,,,,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,,,,,login_beach,1,,0,,,,,,,,,,,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,,,,,login_beach,1,,0,,,,,,,,,,,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,,,,,login_beach,1,,0,,,,,,,,,,,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,,,,,login_beach,1,,0,,,,,,,,,,,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,,,,,login_beach,1,,0,,,,,,,,,,,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,,,,,login_beach,1,,0,,,,,,,,,,,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,,,,,mapBg,1,,1,,,,,,,,,,,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15,,,,,mapBg,1,,0,,,,,,,,,,,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16,,,,,mapBg,1,,0,,,,,,,,,,,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,,,,-1,login_beach,0,partner_picture_yisao,1,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,,,,-1,login_beach,0,partner_picture_yage,0,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,,,,-1,login_beach,0,partner_swimsuit_xiahoudun,0,,,,,,,,,0.8,362|384,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,,,,-1,login_beach,0,partner_swimsuit_xiahoudun,0,,,,,,,,,0.8,362|384,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21,,,,-1,login_beach,2,partner_swimsuit_xiahoudun,0,,,,,,,,,0.8,362|384,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22,,,,-1,login_beach,2,partner_swimsuit_xiahoudun,0,,,,,,,,,0.8,362|384,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
