id,type,stage_belong,offsetX,offsetY
1,1,11,576,895
2,0,12,542.5,933.5
3,0,12,474,921.25
4,2,12,383,846
5,0,13,338,922
6,0,13,284,928.5
7,3,13,167,872
8,0,14,182.75,886.75
9,0,14,139.5,838.5
10,0,14,114.25,790.25
11,4,14,66,679
12,0,15,172,747.75
13,0,15,215,753.5
14,5,15,238,702
15,0,16,328.5,759.5
16,0,16,386,754
17,6,16,428,680
18,0,17,539.75,730.75
19,0,17,588.5,718.5
20,7,17,623,631
21,0,18,638.5,601
22,0,18,614.75,554.5
23,8,18,528,445
24,0,19,500.75,499
25,0,19,450.5,510
26,0,19,400.25,481
27,9,19,327,409
28,0,20,303,442.75
29,0,20,286,413.5
30,0,20,269,384.25
31,10,20,220,292
32,1,1,563,883
33,0,2,500,940
34,0,2,430,950
35,0,2,380,930
36,2,2,292,855
37,0,3,234,915
38,0,3,167,910
39,0,3,120,880
40,3,3,62,783
41,0,4,124,814
42,0,4,146,785
43,0,4,188,758
44,4,4,230,668
45,0,5,310,730
46,0,5,370,740
47,0,5,423,745
48,5,5,461,669
49,0,6,550,728
50,0,6,593,710
51,0,6,630,676
52,6,6,586,572
53,0,7,544,625
54,0,7,482,618
55,0,7,430,611
56,7,7,339,544
57,0,8,273,598
58,0,8,208,587
59,0,8,155,557
60,8,8,157,455
61,0,9,245,506
62,0,9,320,486
63,0,9,383,520
64,0,9,432,498
65,9,9,449,392
66,0,10,413,430
67,0,10,380,400
68,10,10,330,292
69,1,21,563,803
70,0,22,472.666666667,898.666666667
71,0,22,382.333333333,914.333333333
72,2,22,292,850
73,0,23,215,923.333333333
74,0,23,138,916.666666667
75,3,23,61,830
76,0,24,103.5,878.75
77,0,24,146,847.5
78,0,24,188.5,816.25
79,4,24,231,705
80,0,25,307.666666667,766.666666667
81,0,25,384.333333333,748.333333333
82,5,25,461,650
83,0,26,506.666666667,709.666666667
84,0,26,552.333333333,689.333333333
85,6,26,598,589
86,0,27,511.666666667,671.333333333
87,0,27,425.333333333,673.666666667
88,7,27,339,596
89,0,28,300,656.666666667
90,0,28,261,637.333333333
91,8,28,222,538
92,0,29,278.75,610.25
93,0,29,335.5,602.5
94,0,29,392.25,594.75
95,9,29,449,507
96,0,30,416.75,561.75
97,0,30,384.5,536.5
98,0,30,352.25,511.25
99,10,30,320,406
