id,award,cost,limit,tab,condition_ids
1,20001059#1,236#5,1,1,
2,36#10,236#35,1,1,
3,20#5,236#60,1,1,
4,14#3000,236#20,1,1,
5,10#1500,236#10,2,1,
6,930203#50,236#50,1,2,1|2|3|4|5
7,930197#50,236#60,1,2,1|2|3|4|5
8,4501002#1,236#180,1,2,1|2|3|4|5
9,93#1,236#80,1,2,1|2|3|4|5
10,29#10,236#50,1,2,1|2|3|4|5
11,4102008#1,236#300,2,3,6|7|8|9|10
12,4102018#1,236#60,2,3,6|7|8|9|10
13,4101020#1,236#50,2,3,6|7|8|9|10
14,940034#50,236#250,1,3,6|7|8|9|10
15,36#10,236#30,2,3,6|7|8|9|10
16,4101008#1,236#450,2,4,11|12|13|14|15
17,4501002#1,236#180,1,4,11|12|13|14|15
18,170#80,236#200,1,4,11|12|13|14|15
19,20#10,236#100,2,4,11|12|13|14|15
20,4201008#1,236#10,99,4,11|12|13|14|15
