id,cost_total,cost_exp,free_award,paid_award
1,100,327#100,328#10,2#200|36#1
2,200,327#100,328#10|329#5,329#5|36#1
3,300,327#100,328#10,2#200|36#1
4,400,327#100,328#10|329#5,329#5|36#1
5,500,327#100,328#10,2#200|318#1
6,600,327#100,328#10|329#10,329#5|36#1
7,700,327#100,328#10,2#200|36#1
8,800,327#100,328#10|329#10,329#5|36#1
9,900,327#100,328#10,2#200|36#1
10,1000,327#100,328#10|329#10,329#5|318#1
11,1100,327#100,1#1000000,2#200|36#1
12,1200,327#100,9#1000000,329#5|36#1
13,1300,327#100,10#650,2#200|36#1
14,1400,327#100,14#650,329#5|36#1
15,1500,327#100,2#300,2#200|318#1
16,1600,327#100,1#1000000,329#5|36#1
17,1700,327#100,9#1000000,2#200|36#1
18,1800,327#100,10#650,329#5|36#1
19,1900,327#100,14#650,2#200|36#1
20,2000,327#100,2#300,329#5|318#1
