id,name,partner_id,is_newpartner,equips,equip_skill
1,-1,751012,0,1169|2169|3169|4169|0|0|0,1
2,-1,751014,0,1369|2369|3369|4369|0|0|0,1
3,-1,751015,0,1469|2469|3469|4469|0|0|0,1
4,-1,751016,0,1269|2269|3269|4269|0|0|0,1
5,-1,752003,0,1269|2269|3269|4269|0|0|0,1
6,-1,752015,0,1169|2169|3169|4169|0|0|0,1
7,-1,752016,0,1269|2269|3269|4269|0|0|0,1
8,-1,752017,0,1569|2569|3569|4569|0|0|0,1
9,-1,753010,0,1569|2569|3569|4569|0|0|0,1
10,-1,753014,0,1369|2369|3369|4369|0|0|0,1
11,-1,753016,0,1569|2569|3569|4569|0|0|0,1
12,-1,753017,1,1169|2169|3169|4169|0|0|0,1
13,-1,754012,0,1269|2269|3269|4269|0|0|0,1
14,-1,754015,0,1269|2269|3269|4269|0|0|0,1
15,-1,754016,0,1469|2469|3469|4469|0|0|0,1
16,-1,754017,0,1369|2369|3369|4369|0|0|0,1
17,-1,755007,0,1569|2569|3569|4569|0|0|0,1
18,-1,755008,0,1369|2369|3369|4369|0|0|0,1
19,-1,755009,0,1469|2469|3469|4469|0|0|0,1
20,-1,756006,0,1269|2269|3269|4269|0|0|0,1
21,-1,756007,0,1169|2169|3169|4169|0|0|0,1
22,-1,756008,0,1369|2369|3369|4369|0|0|0,1
