id,name,partner_id,crystal,antique,equip_skill,potentials
1,-1,1,5749,6343,3,2|2|2|2|3
2,-1,2,5752,6344,2,1|3|1|3|2
3,-1,3,5752,6345,3,3|3|1|1|2
4,-1,4,5762,6346,3,3|3|1|3|1
5,-1,5,5763,6347,3,3|3|3|3|2
6,-1,6,5754,6348,2,1|1|1|3|1
7,-1,7,5766,6349,2,3|1|1|3|2
8,-1,8,5752,6350,1,1|1|3|1|2
9,-1,9,5759,6343,3,1|1|3|2|2
10,-1,10,5756,6344,3,1|2|1|1|1
11,-1,11,5762,6345,1,1|3|1|1|2
12,-1,12,5754,6346,1,3|1|1|3|2
13,-1,13,5754,6347,1,3|1|1|3|2
14,-1,14,5763,6348,2,3|1|1|3|2
15,-1,15,5750,6349,1,1|2|1|1|2
16,-1,16,5764,6350,3,3|3|1|3|2
17,-1,17,5759,6343,3,3|2|3|3|1
18,-1,18,5750,6344,2,1|1|1|2|3
19,-1,19,5754,6343,2,3|1|1|3|2
20,-1,20,5763,6344,2,3|2|2|3|2
21,-1,21,5750,6345,2,1|1|1|1|2
22,-1,22,5759,6346,2,3|1|1|3|2
23,-1,1,5749,6228,3,0|0|0|0|0
24,-1,2,5752,6229,2,0|0|0|0|0
25,-1,3,5752,6230,3,0|0|0|0|0
26,-1,4,5762,6231,3,0|0|0|0|0
27,-1,5,5763,6232,3,0|0|0|0|0
28,-1,6,5754,6233,2,0|0|0|0|0
29,-1,7,5766,6234,2,0|0|0|0|0
30,-1,8,5752,6235,1,0|0|0|0|0
31,-1,9,5759,6236,3,0|0|0|0|0
32,-1,10,5756,6401,3,0|0|0|0|0
33,-1,11,5762,6407,1,0|0|0|0|0
34,-1,12,5754,6228,1,0|0|0|0|0
35,-1,13,5754,6229,1,0|0|0|0|0
36,-1,14,5763,6230,2,0|0|0|0|0
37,-1,15,5750,6231,1,0|0|0|0|0
38,-1,16,5764,6232,3,0|0|0|0|0
39,-1,17,5759,6233,3,0|0|0|0|0
40,-1,18,5750,6228,2,0|0|0|0|0
41,-1,19,5763,6230,2,0|0|0|0|0
42,-1,20,5750,6231,2,0|0|0|0|0
43,-1,21,5759,6232,2,0|0|0|0|0
44,-1,22,5757,6233,2,0|0|0|0|0
