id,awards,cost,preview,effect,new_show
1,2#400,2#50,,,
2,36#10,2#50,1,,
3,930085#50,2#50,1,1,
4,2#150,2#50,,,
5,7142#1,2#50,1,1,1
6,2#150,2#50,,,
7,20#5,2#50,1,,
8,2#150,2#50,,,
9,2#150,2#50,,,
10,2#150,2#50,,,
11,2#400,2#50,,,
12,29#10,2#50,1,,
13,2#150,2#50,,,
14,2#150,2#50,,,
15,2#150,2#50,,,
16,2#400,2#50,,,
17,45#1,2#50,1,1,
18,2#150,2#50,,,
19,2#150,2#50,,,
20,2#150,2#50,,,
21,2#400,2#50,,,
22,940002#50,2#50,1,,
23,2#150,2#50,,,
24,2#150,2#50,,,
25,2#150,2#50,,,
26,2#150,2#50,,,
27,2#400,2#50,,,
28,940004#50,2#50,1,1,
29,2#2000,2#50,1,,
30,36#20,2#50,1,1,
