id,name,lv,show_id,server,avatar_id,partner_ids,power,score
1,YuG,130,1019120101,283,930099,70101|74016|73002|73014|73015|74016,217404,0
2,Abi,132,1019120102,251,930184,72015|71015|74010|72013|73011|70501,192762,0
3,Sanl,124,1019120103,387,930128,74014|71004|71003|76005|71008|74012,204364,0
4,Bi,143,1019120104,147,930107,73001|73013|71009|76008|74001|70101,210842,0
5,Zhao,131,1019120105,244,930125,74003|74005|74005|73012|73009|75002,197991,0
6,Zen,104,1019120106,360,930135,74012|72003|71013|73002|74012|70103,184411,0
7,Chang,132,1019120107,350,930170,74007|74004|72006|73012|71006|75009,203335,0
8,Cheng,114,1019120108,166,930178,70303|73011|71001|72009|70302|70301,210534,0
9,Ding,103,1019120109,299,930140,70601|75008|72016|74010|74007|71012,219752,0
10,Feng,123,1019120110,205,930198,71014|72010|71013|75006|72012|72004,201675,0
11,Fu,100,1019120111,173,930156,76005|71004|73012|74007|70103|75002,216741,0
12,Hao,110,1019120112,206,930105,74003|72004|74015|71002|74014|73007,210036,0
13,Hertz,104,1019120113,142,930105,71014|71009|72010|73003|76002|72003,190365,0
14,Hua,141,1019120114,269,930132,70302|72007|73007|72006|71011|76004,218614,0
15,Jiang,139,1019120115,323,930126,73006|71003|71009|70204|70203|70203,216339,0
16,Jie,126,1019120116,104,930212,76006|74013|74003|72001|75010|70102,188759,0
17,Lei,120,1019120117,323,930150,72011|71010|70303|71014|72006|71002,196061,0
18,Lu,135,1019120118,245,930164,70203|71004|70302|71007|74001|72014,211771,0
19,Ma,131,1019120119,282,930091,75005|71002|70203|72011|71001|73015,210647,0
20,Nie,146,1019120120,298,930175,70501|74016|74006|76001|74013|72005,198591,0
21,Pan,133,1019120121,263,930139,72004|72008|73010|71010|70401|74010,198817,0
22,Peng,128,1019120122,105,930137,72012|76006|70103|72015|70101|72012,218824,0
23,Tang,102,1019120123,133,930149,70203|76004|70403|70402|72002|70402,210523,0
24,Tao,113,1019120124,340,930174,72016|72006|74012|75003|75004|72014,212287,0
25,Shen,147,1019120125,148,930154,70403|75005|73009|71015|74012|72009,214136,0
26,Wu,141,1019120126,268,930143,70501|74015|70402|75008|75009|73010,191964,0
27,Xu,147,1019120127,291,930199,73007|74007|70401|76008|73006|71006,206497,0
28,Yan,100,1019120128,182,930078,76003|72009|72009|70101|73012|71009,213849,0
29,Haneul,143,1019120129,203,930147,71009|70302|74004|72003|74011|72001,187448,0
30,Ki,102,1019120130,231,930096,71013|73009|74003|71012|73011|75009,214553,0
31,Yong,148,1019120131,123,930209,71015|70102|74004|72015|70201|72012,219074,0
32,Seung,108,1019120132,271,930111,71015|71001|70402|70601|72010|75004,202867,0
33,Saleh,106,1019120133,353,930212,76002|74006|70101|71009|71009|72016,199520,0
34,Wafi,128,1019120134,190,930078,74003|74009|76006|71015|76006|70401,194233,0
