id,title,icon,text,is_goto
1,-1,icon_2,-1,5|3|14|6|13|124|198|199|200|201
2,-1,icon_1,-1,6|25|16|10|14|23|70|124|198|199|12|201
3,-1,enhance_title_icon2,-1,6|25|3|10|9|23|2|8|91|62|201
4,-1,icon_9,-1,6|25|14|23|2|201
5,-1,icon_10,-1,6|10|25|23|2|21|201
6,-1,equip_15_1,-1,6|10|23
7,-1,icon_14,-1,6|23|70|198|199|200|201
8,-1,artfact_1,-1,6|23|132
9,-1,icon_20,-1,0|3|0|2
10,-1,enhance_title_icon1,-1,31|30|7
11,-1,equip_15_2,-1,20|0
12,-1,icon_26,-1,6|70|27
13,-1,icon_27,-1,6|70|27|201
14,-1,icon_260,-1,2|199
15,-1,icon_261,-1,2|199
16,-1,icon_198,-1,131|201
17,-1,icon_199,-1,131|201
