name,translation
STAGE_NAME,Runde {1}-{2}
BIG_MAP,Karte
YES,Ja
NO,Nein
GET,Erhalten
GET2,Sammeln
TEAM,Team
AWARD,Beute
EQUIP,Ausrüstungen
ITEM,Items
DEBRIS,Fragmente
ARTIFACT,Antiquitäten
NOW_NONE,Kein(e) {1}
NOT_SELL,Nicht verkäuflich
BATTLE_FORMATION_WIN,Kampf
FRONT_ROW,Front
BACK_ROW,Back
ARTIFACT_ATTR_LIMIT,Attribute: {1}
GET_WAYS,Erhalten：
FORT_NAME_1,Sarah's Illusion
FORT_NAME_2,Mondinsel
FORT_NAME_3,Land der Ängste
FORT_NAME_4,Krom's Mine
FORT_NAME_5,Der vergessene Eisberg
FORT_NAME_6,Fort Hyde
FORT_NAME_7,Brennender Boden
FORT_NAME_8,Der Himmel
FORT_NAME_9,Sarah's Illusion
FORT_NAME_10,Mondinsel
FORT_NAME_11,Land der Ängste
FORT_NAME_12,Krom's Mine
FORT_NAME_13,Der vergessene Eisberg
FORT_NAME_14,Fort Hyde
FORT_NAME_15,Brennender Boden
FORT_NAME_16,Der Himmel
FORT_NAME_17,Bane's Wald
FORT_NAME_18,Festung der Untoten
FORT_NAME_19,Sarah's Illusion
FORT_NAME_20,Mondinsel
FORT_NAME_21,Land der Ängste
FORT_NAME_22,Krom's Mine
FORT_NAME_23,Der vergessene Eisberg
FORT_NAME_24,Fort Hyde
FORT_NAME_25,Brennender Boden
FORT_NAME_26,Der Himmel
FORT_NAME_27,Bane's Wald
FORT_NAME_28,Festung der Untoten
FORT_NAME_29,Altes Relikt
FORT_NAME_30,Geisterfestung
FORT_NAME_31,Sarah's Illusion
FORT_NAME_32,Mondinsel
FORT_NAME_33,Land der Ängste
FORT_NAME_34,Krom's Mine
FORT_NAME_35,Der vergessene Eisberg
FORT_NAME_36,Fort Hyde
FORT_NAME_37,Brennender Boden
FORT_NAME_38,Der Himmel
FORT_NAME_39,Bane's Wald
FORT_NAME_40,Festung der Untoten
FORT_NAME_41,Altes Relikt
FORT_NAME_42,Geisterfestung
PARTNER_DETAIL_TIPS,"Keine Sorge, Zahlen sind nicht alles~"
GRADE,Klasse
LEV_UP,Leveln
AWAKE,Erwecken
JOB_1,Krieger
JOB_2,Magier
JOB_3,Ranger
JOB_4,Mörder
JOB_5,Priester
STAGE_RES,Ausgabe
STAGE_ITEM,Beute
STAGE_RES_NUM,+{1}/5s
STAGE_HANG,Auto-Kampf
ATK,Angriff
HP,HP
ARM,Rüstung
ATKP,Angriff
HPP,HP
ARMP,Rüstung
SPD,Speed
ENERGY,Energie
