id,table_ids,unknown_3,name,group,max_grade,desc,point_atk,point_arm,point_spd,point_ctrl,point_hp,partner_type,label_id1,label_id2,label_id3,skill_id1,skill_desc1,skill_id2,skill_desc2,skill_id3,skill_desc3,skill_id4,skill_desc4,artifact_id1,artifact_desc1,artifact_id2,artifact_desc2
811001,11001,-1,,,,,,,,,,1,2,,,,,,,,,,,,,,
811002,11002,-1,,,,,,,,,,2,3,,,,,,,,,,,,,,
811003,11003,-1,,,,,,,,,,2,3,,,,,,,,,,,,,,
812001,12001,-1,,,,,,,,,,1,2,,,,,,,,,,,,,,
812002,12002,-1,,,,,,,,,,1,2,,,,,,,,,,,,,,
812003,12003,-1,,,,,,,,,,2,3,,,,,,,,,,,,,,
813001,13001,-1,,,,,,,,,,1,3,,,,,,,,,,,,,,
813002,13002,-1,,,,,,,,,,2,3,,,,,,,,,,,,,,
813003,13003,-1,,,,,,,,,,1,3,,,,,,,,,,,,,,
814001,14001,-1,,,,,,,,,,2,3,,,,,,,,,,,,,,
814002,14002,-1,,,,,,,,,,2,3,,,,,,,,,,,,,,
814003,14003,-1,,,,,,,,,,1,2,,,,,,,,,,,,,,
821001,21001,-1,,,,,,,,,,2,3,,,,,,,,,,,,,,
821002,21002,-1,,,,,,,,,,2,11,,,,,,,,,,,,,,
821003,21003,-1,,,,,,,,,,2,3,,,,,,,,,,,,,,
821004,21004,-1,,,,,,,,,,1,2,,,,,,,,,,,,,,
822001,22001,-1,,,,,,,,,,2,5,,,,,,,,,,,,,,
822002,22002,-1,,,,,,,,,,1,4,,,,,,,,,,,,,,
822003,22003,-1,,,,,,,,,,1,3,,,,,,,,,,,,,,
822004,22004,-1,,,,,,,,,,2,3,,,,,,,,,,,,,,
823001,23001,-1,,,,,,,,,,2,3,,,,,,,,,,,,,,
823002,23002,-1,,,,,,,,,,2,3,,,,,,,,,,,,,,
823003,23003,-1,,,,,,,,,,2,3,,,,,,,,,,,,,,
823004,23004,-1,,,,,,,,,,2,3,,,,,,,,,,,,,,
824001,24001,-1,,,,,,,,,,2,3,,,,,,,,,,,,,,
824002,24002,-1,,,,,,,,,,2,4,,,,,,,,,,,,,,
824003,24003,-1,,,,,,,,,,1,2,,,,,,,,,,,,,,
824004,24004,-1,,,,,,,,,,2,3,,,,,,,,,,,,,,
831001,31001,-1,,,,,,,,,,1,2,21,,,,,,,,,,,,,
831002,31002,-1,,,,,,,,,,2,3,4,,,,,,,,,,,,,
831003,31003,-1,,,,,,,,,,2,3,4,,,,,,,,,,,,,
831004,31004,-1,,,,,,,,,,2,3,4,,,,,,,,,,,,,
831005,31005,-1,,,,,,,,,,1,2,4,,,,,,,,,,,,,
832001,32001,-1,,,,,,,,,,3,5,13,,,,,,,,,,,,,
832002,32002,-1,,,,,,,,,,2,3,9,,,,,,,,,,,,,
832003,32003,-1,,,,,,,,,,2,5,13,,,,,,,,,,,,,
832004,32004,-1,,,,,,,,,,2,3,4,,,,,,,,,,,,,
832005,32005,-1,,,,,,,,,,2,3,4,,,,,,,,,,,,,
833001,33001,-1,,,,,,,,,,1,2,22,,,,,,,,,,,,,
833002,33002,-1,,,,,,,,,,2,3,25,,,,,,,,,,,,,
833003,33003,-1,,,,,,,,,,2,3,9,,,,,,,,,,,,,
833004,33004,-1,,,,,,,,,,2,3,21,,,,,,,,,,,,,
833005,33005,-1,,,,,,,,,,2,3,11,,,,,,,,,,,,,
834001,34001,-1,,,,,,,,,,2,3,11,,,,,,,,,,,,,
834002,34002,-1,,,,,,,,,,2,3,26,,,,,,,,,,,,,
834003,34003,-1,,,,,,,,,,3,6,13,,,,,,,,,,,,,
834004,34004,-1,,,,,,,,,,2,3,11,,,,,,,,,,,,,
834005,34005,-1,,,,,,,,,,2,3,4,,,,,,,,,,,,,
835001,35001,-1,,,,,,,,,,2,3,4,,,,,,,,,,,,,
836001,36001,-1,,,,,,,,,,2,3,4,,,,,,,,,,,,,
841001,41001|541001,-1,1,1,4,,1.73,3.86,3.5,,,1,2,25,,4100101,,4100102,,4100103,,,,,,,
841002,41002|541002,-1,1,1,4,,2.42,3.79,3.21,,,2,3,26,,4100201,,4100202,,4100203,,,,,,,
841003,41003|541003|651013,-1,1,1,4,,3.36,3.79,3.88,,,2,3,9,,4100301,,4100302,,4100303,,,,,,,
841004,41004|541004|651014,-1,1,1,4,,3.05,3.79,2.38,,,2,3,4,,4100401,,4100402,,4100403,,,,,,,
841005,41005|541005,-1,1,1,4,,2.24,4,3.13,,,1,2,7,,4100501,,4100502,,4100503,,,,,,,
841006,41006|541006,-1,1,1,4,,2.05,4,3.58,,,1,2,20,,4100601,,4100602,,4100603,,,,,,,
841007,41007|541007,-1,1,1,4,,2.43,3.79,3.04,,,2,3,9,,4100701,,4100702,,4100703,,,,,,,
841008,41008|541008|651012,-1,1,1,4,,3.73,3.64,2.92,,,2,3,11,,4100801,,4100802,,4100803,,,,,,,
842001,42001|542001,-1,2,2,4,,2.93,4.07,2.83,,,2,3,20,,4200101,,4200102,,,,,,,,,
842002,42002|542002,-1,2,2,4,,1.73,4.43,3.5,,,1,2,20,,4200201,,4200202,,4200203,,,,,,,
842003,42003|542003|652015,-1,2,2,4,,1.78,4.21,3.88,,,2,3,22,,4200301,,4200302,,,,,,,,,
842004,42004|542004|652012,-1,2,2,4,,1.81,4.07,2.75,,,2,3,4,,4200401,,4200402,,4200403,,,,,,,
842005,42005|542005,-1,2,2,4,,2.16,4.21,3.21,,,2,3,9,,4200501,,4200502,,4200503,,,,,,,
842006,42006|542006,-1,2,2,4,,2.16,4.21,3.13,,,2,3,26,,4200601,,4200602,,4200603,,,,,,,
842007,42007|542007,-1,2,2,4,,1.42,4.43,3.67,,,1,2,7,,4200701,,4200702,,4200703,,,,,,,
842008,42008|542008|652016,-1,2,2,4,,1.55,4.43,3.58,,,2,3,9,,4200801,,4200802,,4200803,,,,,,,
843001,43001|543001,-1,3,3,4,,2.03,3.86,2.38,,,2,4,11,,4300101,,4300102,,4300103,,,,,,,
843002,43002|543002|653013,-1,3,3,4,,2.08,3.86,2.75,,,2,14,11,,4300201,,4300202,,,,,,,,,
843003,43003|543003,-1,3,3,4,,1.67,4,3.5,,,2,9,25,,4300301,,4300302,,4300303,,,,,,,
843004,43004|543004,-1,3,3,4,,1.85,4,3.88,,,2,3,11,,4300401,,4300402,,4300403,,,,,,,
843005,43005|543005,-1,3,3,4,,1.75,4.21,3.58,,,2,3,22,,4300501,,4300502,,4300503,,,,,,,
843006,43006|543006|653012,-1,3,3,4,,2.54,3.86,2.83,,,2,3,9,,4300601,,4300602,,,,,,,,,
843007,43007|543007|653014,-1,3,3,4,,2.55,4,2.38,,,3,6,9,22,4300701,,4300702,,4300703,,,,,,,
843008,43008|543008,-1,3,3,4,,1.72,4.21,3.58,,,1,5,13,,4300801,,4300802,,4300803,,,,,,,
844001,44001|544001,-1,4,4,4,,1.34,4,3.83,,,2,3,4,,4400101,,4400102,,4400103,,,,,,,
844002,44002|544002,-1,4,4,4,,1.05,4.21,3.5,,,2,3,22,,4400201,,4400202,,4400203,,,,,,,
844003,44003|544003,-1,4,4,4,,1.63,4,2.38,,,3,6,8,,4400301,,4400302,,4400303,,,,,,,
844004,44004|544004,-1,4,4,4,,1.93,4,3.88,,,2,9,11,,4400401,,4400402,,4400403,,,,,,,
844005,44005|544005|654012,-1,4,4,4,,1.81,3.86,2.46,,,2,10,22,,4400501,,4400502,,,,,,,,,
844006,44006|544006,-1,4,4,4,,1.75,4.21,3.58,,,1,2,4,,4400601,,4400602,,4400603,,,,,,,
844007,44007|544007|654015,-1,4,4,4,,2.17,4,3.96,,,2,9,18,,4400701,,4400702,,4400703,,,,,,,
844008,44008|544008|654014,-1,4,4,4,,2.03,4,2.46,,,3,6,20,,4400801,,4400802,,4400803,,,,,,,
845001,45001|545001,-1,5,5,4,,1.79,4,2.83,,,2,4,22,,4500101,,4500102,,4500103,,,,,,,
845002,45002|545002,-1,5,5,4,,2.07,3.86,2.92,,,2,3,9,,4500201,,4500202,,4500203,,,,,,,
845003,45003|545003|655012,-1,5,5,4,,2.23,3.86,2.83,,,3,5,18,,4500301,,4500302,,4500303,,,,,,,
846001,46001|546001,-1,6,6,4,,2.25,3.86,2.46,,,3,5,20,,4600101,,4600102,,4600103,,,,,,,
846002,46002|546002,-1,6,6,4,,1.39,4.14,3.67,,,2,3,4,,4600201,,4600202,,4600203,,,,,,,
846003,46003|546003|656012,-1,6,6,4,,2.05,3.86,2.83,,,2,3,22,,4600301,,4600302,,4600303,,,,,,,
851001,51001|651001|751005,-1,-1,1,5,,3.93,3.79,4.13,3.88888888889,2.66,2|3,3,4,22,75100501,,75100502,,75100503,,75100504,,6460,,6454,
851002,51002|651015|751008,-1,-1,1,5,,4.49,3.93,4.92,0,2.19,2,3,8,11,75100801,,75100802,,75100803,,75100804,,6353,,6448,
851003,51003|651002|751001,-1,-1,1,5,,3.73,4,4.33,4.22222222222,4.8,1,1,4,8,75100101,,75100102,,75100103,,75100104,,6454,,6350,
851004,51004|651003|751002,-1,-1,1,5,,4.14,3.93,4.75,2.46913580247,2.73,1|2,2,8,9,75100201,,75100202,,75100203,,75100204,,6454,,6353,
851005,51005|651004|751006,-1,-1,1,5,,3.96,4,4.08,1.85185185185,2.62,2,3,4,11,75100601,,75100602,,75100603,,75100604,,6348,,6353,
851006,51006|651016|751009,-1,-1,1,5,,2.67,4,4.29,4.90833333333,4.41,1|3,2,4,17,75100901,,75100902,,75100903,,75100904,,6454,,6350,
851007,51007|651005|751003,-1,-1,1,5,,2.76,4.14,4.42,0,4.13,2,3,11,22,75100301,,75100302,,75100303,,75100304,,6354,,6448,
851008,51008|651017|751010,-1,-1,1,5,,4.56,3.93,4.42,4.08888888889,3.09,2|3,4,11,17,75101001,,75101002,,75101003,,75101004,,6460,,6348,
851009,51009|651006|751004,-1,-1,1,5,,4.69,3.79,3.71,2.31481481481,2.93,2,3,10,15,75100401,,75100402,,75100403,,75100404,,6454,,6350,
851010,51010|651011|751007,-1,-1,1,5,,3.94,3.93,4.83,4.33333333333,2.4,2,3,11,25,75100701,,75100702,,75100703,,75100704,,6354,,6352,
851011,51011|651018|751011,-1,-1,1,5,,4.75,4.29,3.96,4.44444444444,3.09,2|3,16,4,20,75101101,,75101102,,75101103,,75101104,,6448,,6454,
852001,52001|652013|752008,-1,-1,2,5,,3.95,4.36,3.17,0,3.28,1|3,5,19,20,75200801,,75200802,,75200803,,75200804,,6351,,6454,
852002,52002|652011|752007,-1,-1,2,5,,2.52,4.36,3.33,0,3.09,1|3,6,7,8,75200701,,75200702,,75200703,,75200704,,6460,,6442,
852003,52003|651007|752001,-1,-1,2,5,,2.31,4.57,4.33,3.33333333333,4.63,1,1,7,20,75200101,,75200102,,75200103,,75200104,,6454,,6351,
852004,52004|652014|752009,-1,-1,2,5,,4.53,4.21,3.54,0,4.18,2,3,12,22,75200901,,75200902,,75200903,,75200904,,6448,,6454,
852005,52005|651008|752002,-1,-1,2,5,,2.74,4.57,4.08,2.5,2.8,2|3,4,21,13,75200201,,75200202,,75200203,,75200204,,6454,,6418,
852006,52006|651009|752003,-1,-1,2,5,,3.08,4.21,3.63,4.58333333333,2.81,3,4,25,13,75200301,,75200302,,75200303,,75200304,,6350,,6418,
852007,52007|652017|752010,-1,-1,2,5,,4.05,4.93,4.5,0,3.62,1|2,2,8,21,75201001,,75201002,,75201003,,75201004,,6448,,6454,
852008,52008|651010|752004,-1,-1,2,5,,3.14,4.36,4.75,0,2.43,1,3,9,20,75200401,,75200402,,75200403,,75200404,,6350,,6418,
852009,52009|652001|752005,-1,-1,2,5,,3.32,4.36,4.17,0,3.24,1|2,2,25,19,75200501,,75200502,,75200503,,75200504,,6412,,6418,
852010,52010|652002|752006,-1,OD-01,2,5,,4.11,4.57,3.71,1.23456790123,3.53,2,3,4,13,75200601,,75200602,,75200603,,75200604,,6460,,6418,
852011,52011|652018|752011,-1,-1,2,5,,4.02,4.21,3.96,5,3.15,2|3,4,12,7,75201101,,75201102,,75201103,,75201104,,6436,,6454,
853001,53001|653016|753009,-1,-1,3,5,,4.55,4,4.04,0,3.1,2,3,11,10,75300901,,75300902,,75300903,,75300904,,6448,,6360,
853002,53002|653011|753007,-1,-1,3,5,,2.29,4.36,4.46,0,3.63,2,1,7,22,75300701,,75300702,,75300703,,75300704,,6350,,6360,
853003,53003|652003|753001,-1,-1,3,5,,3.59,4,3.71,0,2.08,2,3,11,25,75300101,,75300102,,75300103,,75300104,,6448,,6360,
853004,53004|653015|753008,-1,-1,3,5,,2.93,4.14,4.5,0,4.54,2,3,9,22,75300801,,75300802,,75300803,,75300804,,6454,,6359,
853005,53005|652004|753002,-1,-1,3,5,,2.99,4.14,3.92,0,3.3,2,3,10,21,75300201,,75300202,,75300203,,75300204,,6454,,6359,
853006,53006|652005|753003,-1,-1,3,5,,2.85,4.14,4.33,0,4.42,1,1,7,20,75300301,,75300302,,75300303,,75300304,,6436,,6360,
853007,53007|653018|753011,-1,-1,3,5,,4.36,4.36,4.29,2.77777777778,4.03,1|2,2,21,10,75301101,,75301102,,75301103,,75301104,,6454,,6359,
853008,53008|652006|753004,-1,-1,3,5,,2.74,4.14,4,0,3.06,2,3,11,25,75300401,,75300402,,75300403,,75300404,,6448,,6359,
853009,53009|652007|753005,-1,-1,3,5,,2.7,4.14,4.42,3.55555555556,3.78,2,2,4,21,75300501,,75300502,,75300503,,75300504,,6454,,6358,
853010,53010|652008|753006,-1,-1,3,5,,4.52,4,4.83,0,2.98,2,3,10,22,75300601,,75300602,,75300603,,75300604,,6448,,6360,
853011,53011|653017|753010,-1,-1,3,5,,4.33,3.93,3.33,3.125,3.56,1|2|3,16,5,18,75301001,,75301002,,75301003,,75301004,,6436,,6351,
854001,54001|652009|754001,-1,-1,4,5,,4.05,4.14,4.92,4.31666666667,2.9,2|3,3,4,22,75400101,,75400102,,75400103,,75400104,,6436,,6363,
854002,54002|652010|754002,-1,-1,4,5,,3.02,4.36,4.33,0,4.92,1,2,8,13,75400201,,75400202,,75400203,,75400204,,6454,,6362,
854003,54003|653001|754003,-1,-1,4,5,,2.55,4.14,4.75,0,2.32,2,3,9,25,75400301,,75400302,,75400303,,75400304,,6436,,6361,
854004,54004|654011|754007,-1,-1,4,5,,4.06,4,4.33,0,3.01,1|3,5,13,20,75400701,,75400702,,75400703,,75400704,,6362,,6363,
