id,random_battle,battle_id,show,map
1,1,300001,7001,35
2,1,300002,7002,35
3,1,300003,7003,35
4,1,300004,7004,35
5,1,300005,7005,35
6,1,300006,7006,35
7,1,300007,7007,35
8,1,300008,7008,35
9,1,300009,7009,35
10,1,300010,7010,35
11,1,300011,7012,35
12,1,300012,7014,35
13,1,300013,7016,35
14,1,300014,7017,35
15,1,300015,7018,35
16,1,300016,7020,35
17,2,300017,7022,35
18,2,300018,7023,35
19,2,300019,7024,35
20,2,300020,7025,35
21,2,300021,7026,35
22,2,300022,7027,35
23,2,300023,7028,35
24,2,300024,7029,35
25,2,300025,7030,35
26,2,300026,7031,35
27,2,300027,7033,35
28,2,300028,7035,35
29,2,300029,7037,35
30,2,300030,7038,35
31,2,300031,7039,35
32,2,300032,7041,35
33,3,300033,7043,35
34,3,300034,7044,35
35,3,300035,7045,35
36,3,300036,7046,35
37,3,300037,7047,35
38,3,300038,7048,35
39,3,300039,7049,35
40,3,300040,7050,35
41,3,300041,7051,35
42,3,300042,7052,35
43,3,300043,7054,35
44,3,300044,7056,35
45,3,300045,7058,35
46,3,300046,7060,35
47,3,300047,7062,35
48,3,300048,7064,35
49,3,300049,7066,35
50,3,300050,7069,35
51,3,300051,7073,35
52,3,300052,7076,35
53,3,300053,7080,35
54,3,300054,7082,35
55,3,300055,7086,35
56,4,300056,7088,35
57,4,300057,7089,35
58,4,300058,7090,35
59,4,300059,7091,35
60,4,300060,7092,35
61,4,300061,7093,35
62,4,300062,7094,35
63,4,300063,7095,35
64,4,300064,7096,35
65,4,300065,7097,35
66,4,300066,7099,35
67,4,300067,7101,35
68,4,300068,7103,35
69,4,300069,7105,35
70,4,300070,7107,35
71,4,300071,7109,35
72,4,300072,7111,35
73,4,300073,7114,35
74,4,300074,7118,35
75,4,300075,7121,35
76,4,300076,7125,35
77,4,300077,7127,35
78,4,300078,7131,35
79,5,300079,7133,35
80,5,300080,7134,35
81,5,300081,7135,35
82,5,300082,7136,35
83,5,300083,7137,35
84,5,300084,7138,35
85,5,300085,7139,35
86,5,300086,7140,35
87,5,300087,7141,35
88,5,300088,7142,35
89,5,300089,7143,35
90,5,300090,7144,35
91,5,300091,7145,35
92,5,300092,7146,35
93,5,300093,7148,35
94,5,300094,7150,35
95,5,300095,7152,35
96,5,300096,7154,35
97,5,300097,7156,35
98,5,300098,7158,35
99,5,300099,7160,35
100,5,300100,7164,35
101,5,300101,7168,35
102,5,300102,7172,35
103,5,300103,7176,35
104,5,300104,7180,35
105,5,300105,7184,35
106,5,300106,7186,35
107,6,300107,7190,35
108,6,300108,7191,35
109,6,300109,7192,35
110,6,300110,7193,35
111,6,300111,7194,35
112,6,300112,7195,35
113,6,300113,7196,35
114,6,300114,7197,35
115,6,300115,7198,35
116,6,300116,7199,35
117,6,300117,7200,35
118,6,300118,7201,35
119,6,300119,7202,35
120,6,300120,7203,35
121,6,300121,7205,35
122,6,300122,7207,35
123,6,300123,7209,35
124,6,300124,7211,35
125,6,300125,7213,35
126,6,300126,7215,35
127,6,300127,7217,35
128,6,300128,7221,35
129,6,300129,7225,35
130,6,300130,7229,35
131,6,300131,7233,35
132,6,300132,7237,35
133,6,300133,7241,35
134,6,300134,7243,35
135,7,300135,7247,35
136,7,300136,7248,35
137,7,300137,7249,36
138,7,300138,7250,36
139,7,300139,7251,36
140,7,300140,7252,35
141,7,300141,7253,36
142,7,300142,7254,35
143,7,300143,7255,36
144,7,300144,7256,35
145,7,300145,7257,35
146,7,300146,7258,35
147,7,300147,7259,35
148,7,300148,7260,36
149,7,300149,7261,35
150,7,300150,7262,35
151,7,300151,7263,35
152,7,300152,7264,35
153,7,300153,7265,35
154,7,300154,7267,35
155,7,300155,7269,35
156,7,300156,7271,35
157,7,300157,7273,35
158,7,300158,7275,35
159,7,300159,7277,35
160,7,300160,7279,35
161,7,300161,7281,35
162,7,300162,7283,35
163,7,300163,7285,35
164,7,300164,7287,35
165,7,300165,7289,35
166,7,300166,7291,35
167,7,300167,7293,35
168,7,300168,7297,35
169,7,300169,7301,35
170,7,300170,7305,35
171,7,300171,7309,35
172,7,300172,7310,35
173,7,300173,7314,35
174,7,300174,7315,35
175,7,300175,7319,35
176,7,300176,7323,35
177,7,300177,7324,35
178,7,300178,7325,35
179,7,300179,7329,35
180,7,300180,7330,35
181,7,300181,7334,35
182,7,300182,7338,35
183,8,300183,7339,35
184,8,300184,7340,35
185,8,300185,7341,36
186,8,300186,7342,36
187,8,300187,7343,36
188,8,300188,7344,35
189,8,300189,7345,36
190,8,300190,7346,35
191,8,300191,7347,36
192,8,300192,7348,35
193,8,300193,7349,35
194,8,300194,7350,35
195,8,300195,7351,35
196,8,300196,7352,36
197,8,300197,7353,35
198,8,300198,7354,35
199,8,300199,7355,35
200,8,300200,7356,35
201,8,300201,7357,35
202,8,300202,7359,35
203,8,300203,7361,35
204,8,300204,7363,35
205,8,300205,7365,35
206,8,300206,7367,35
207,8,300207,7369,35
208,8,300208,7371,35
209,8,300209,7373,35
210,8,300210,7375,35
211,8,300211,7377,35
212,8,300212,7379,35
213,8,300213,7381,35
214,8,300214,7383,35
215,8,300215,7385,35
216,8,300216,7389,35
217,8,300217,7393,35
218,8,300218,7397,35
219,8,300219,7401,35
220,8,300220,7402,35
221,8,300221,7406,35
222,8,300222,7407,35
223,8,300223,7411,35
224,8,300224,7415,35
225,8,300225,7416,35
226,8,300226,7417,35
227,8,300227,7421,35
228,8,300228,7422,35
229,8,300229,7426,35
230,8,300230,7430,35
231,9,300231,7431,35
232,9,300232,7432,35
233,9,300233,7433,36
234,9,300234,7434,36
235,9,300235,7435,36
236,9,300236,7436,35
237,9,300237,7437,36
238,9,300238,7438,35
239,9,300239,7439,36
240,9,300240,7440,35
241,9,300241,7441,35
242,9,300242,7442,35
243,9,300243,7443,35
244,9,300244,7444,36
245,9,300245,7445,35
246,9,300246,7446,35
247,9,300247,7447,35
248,9,300248,7448,35
249,9,300249,7449,35
250,9,300250,7451,35
251,9,300251,7453,35
252,9,300252,7455,35
253,9,300253,7457,35
254,9,300254,7459,35
255,9,300255,7461,35
256,9,300256,7463,35
257,9,300257,7465,35
258,9,300258,7467,35
259,9,300259,7469,35
260,9,300260,7471,35
261,9,300261,7473,35
262,9,300262,7475,35
263,9,300263,7477,35
264,9,300264,7481,35
265,9,300265,7485,35
266,9,300266,7489,35
267,9,300267,7493,35
268,9,300268,7494,35
269,9,300269,7498,35
270,9,300270,7499,35
271,9,300271,7503,35
272,9,300272,7507,35
273,9,300273,7508,35
274,9,300274,7509,35
275,9,300275,7513,35
276,9,300276,7514,35
277,9,300277,7518,35
278,9,300278,7522,35
279,10,300279,7523,35
280,10,300280,7524,35
281,10,300281,7525,36
282,10,300282,7526,36
283,10,300283,7527,36
284,10,300284,7528,35
285,10,300285,7529,36
286,10,300286,7530,35
287,10,300287,7531,36
288,10,300288,7532,35
289,10,300289,7533,35
290,10,300290,7534,35
291,10,300291,7535,35
292,10,300292,7536,36
293,10,300293,7537,35
294,10,300294,7538,35
295,10,300295,7539,35
296,10,300296,7540,35
297,10,300297,7541,35
298,10,300298,7543,35
299,10,300299,7545,35
300,10,300300,7547,35
301,10,300301,7549,35
302,10,300302,7551,35
303,10,300303,7553,35
304,10,300304,7555,35
305,10,300305,7557,35
306,10,300306,7559,35
307,10,300307,7561,35
308,10,300308,7563,35
309,10,300309,7565,35
310,10,300310,7567,35
311,10,300311,7569,35
312,10,300312,7573,35
313,10,300313,7577,35
314,10,300314,7581,35
315,10,300315,7585,35
316,10,300316,7586,35
317,10,300317,7590,35
318,10,300318,7591,35
319,10,300319,7595,35
320,10,300320,7599,35
321,10,300321,7600,35
322,10,300322,7601,35
323,10,300323,7605,35
324,10,300324,7606,35
325,10,300325,7610,35
326,10,300326,7614,35
327,11,300327,7615,35
328,11,300328,7616,35
329,11,300329,7617,36
330,11,300330,7618,36
331,11,300331,7619,36
332,11,300332,7620,35
333,11,300333,7621,36
334,11,300334,7622,35
335,11,300335,7623,36
336,11,300336,7624,35
337,11,300337,7625,35
338,11,300338,7626,35
339,11,300339,7627,35
340,11,300340,7628,36
341,11,300341,7629,35
342,11,300342,7630,35
343,11,300343,7631,35
344,11,300344,7632,35
345,11,300345,7633,35
346,11,300346,7635,35
347,11,300347,7637,35
348,11,300348,7639,35
349,11,300349,7641,35
350,11,300350,7643,35
351,11,300351,7645,35
352,11,300352,7647,35
353,11,300353,7649,35
354,11,300354,7651,35
355,11,300355,7653,35
356,11,300356,7655,35
357,11,300357,7657,35
358,11,300358,7659,35
359,11,300359,7661,35
360,11,300360,7665,35
361,11,300361,7669,35
362,11,300362,7673,35
363,11,300363,7677,35
364,11,300364,7678,35
365,11,300365,7682,35
366,11,300366,7683,35
367,11,300367,7687,35
368,11,300368,7691,35
369,11,300369,7692,35
370,11,300370,7693,35
371,11,300371,7697,35
372,11,300372,7698,35
373,11,300373,7702,35
374,11,300374,7706,35
375,12,300375,7707,35
376,12,300376,7708,35
377,12,300377,7709,36
378,12,300378,7710,36
379,12,300379,7711,36
380,12,300380,7712,35
381,12,300381,7713,36
382,12,300382,7714,35
383,12,300383,7715,36
384,12,300384,7716,35
385,12,300385,7717,35
386,12,300386,7718,35
387,12,300387,7719,35
388,12,300388,7720,36
389,12,300389,7721,35
390,12,300390,7722,35
391,12,300391,7723,35
392,12,300392,7724,35
393,12,300393,7725,35
394,12,300394,7727,35
395,12,300395,7729,35
396,12,300396,7731,35
397,12,300397,7733,35
398,12,300398,7735,35
399,12,300399,7737,35
400,12,300400,7739,35
401,12,300401,7741,35
402,12,300402,7743,35
403,12,300403,7745,35
404,12,300404,7747,35
405,12,300405,7749,35
406,12,300406,7751,35
407,12,300407,7753,35
408,12,300408,7757,35
409,12,300409,7761,35
410,12,300410,7765,35
411,12,300411,7769,35
412,12,300412,7770,35
413,12,300413,7774,35
414,12,300414,7775,35
415,12,300415,7779,35
416,12,300416,7783,35
417,12,300417,7784,35
418,12,300418,7785,35
419,12,300419,7789,35
420,12,300420,7790,35
421,12,300421,7794,35
422,12,300422,7798,35
423,13,300423,7799,35
424,13,300424,7800,35
425,13,300425,7801,36
426,13,300426,7802,36
427,13,300427,7803,36
428,13,300428,7804,35
429,13,300429,7805,36
430,13,300430,7806,35
431,13,300431,7807,36
432,13,300432,7808,35
433,13,300433,7809,35
434,13,300434,7810,35
435,13,300435,7811,35
436,13,300436,7812,36
437,13,300437,7813,35
438,13,300438,7814,35
439,13,300439,7815,35
440,13,300440,7816,35
441,13,300441,7817,35
442,13,300442,7819,35
443,13,300443,7821,35
444,13,300444,7823,35
445,13,300445,7825,35
446,13,300446,7827,35
447,13,300447,7829,35
448,13,300448,7831,35
449,13,300449,7833,35
450,13,300450,7835,35
