id,type,cost,item,weight
1,1,2#175,36#1,200
2,1,2#175,35#5,120
3,1,1#750000,35#5,80
4,1,2#70,34#5,120
5,1,1#300000,34#5,80
6,1,1#1200000,10#500,60
7,1,1#2400000,10#1000,60
8,1,1#400000,9#250000,60
9,1,1#800000,9#500000,60
10,2,2#750,36#5,80
11,2,2#500,20#1,30
12,2,2#250,940021#30,10
13,2,2#250,940022#30,10
14,2,2#250,940023#30,10
15,2,2#250,940024#30,10
16,2,1#1500000,940001#30,10
17,2,2#300,35#10,50
18,2,1#1500000,35#10,30
19,2,2#120,34#10,50
20,2,1#600000,34#10,30
21,3,2#1250,36#10,30
22,3,2#2250,20#5,10
23,3,2#2000,940011#50,10
24,3,2#500,35#20,20
25,3,1#1500000,35#20,10
26,3,2#200,34#20,20
27,3,1#1200000,34#20,10
28,3,2#2000,940012#50,10
29,3,2#2000,940013#50,10
30,3,2#2000,940014#50,10
