id,image,collection_id,words
1,emoticon_1,71001,-1
2,emoticon_2,71002,-1
3,emoticon_3,71003,-1
4,emoticon_4,71004,-1
5,emoticon_5,71005,-1
6,emoticon_6,71006,-1
7,emoticon_7,71007,-1
8,emoticon_8,71008,-1
9,emoticon_9,71009,-1
10,emoticon_10,71010,-1
11,emoticon_11,71011,-1
12,emoticon_12,71012,-1
13,emoticon_13,71013,-1
14,emoticon_14,71014,-1
15,emoticon_15,71015,-1
16,emoticon_16,71016,-1
17,emoticon_17,71017,-1
18,emoticon_18,71018,-1
19,emoticon_19,71019,-1
20,emoticon_20,71020,-1
21,emoticon_21,71021,-1
22,emoticon_22,71022,-1
23,emoticon_23,71023,-1
24,emoticon_24,71024,-1
