id,desc
1,Reach Player Level {1}
3,Acquire {1} 4-star Girls
4,Acquire {1} 5-star Girl(s)
5,Acquire {1} 6-star Girl(s)
6,Acquire {1} 9-Star Girl(s)
7,Transfer {1} Girls
8,Acquire {1} Pieces of Green Gear
9,Acquire {1} Pieces of Red Gear
10,Acquire {1} Pieces of Orange Gear
11,Defeat {1} Enemies in League
12,Reach {1} Points in Junior Varsity
14,Finish {1} 4-Star Quests in Internship
15,Finish {1} 5-Star Quests in Internship
16,Finish {1} 6-Star Quests in Internship
17,Clear Stage {1} in Hiking
18,Acquire {1} 5-Star Girl(s) from Normal Slot Machine
19,Complete {1} Enrolls
20,Register Account
21,Find {1} Friend Bosses
22,Acquire {1} 10-Star Girl(s)
23,No 5-Star Girls with {1} Adv. Cap. draws in a row
24,Reach {1} Intimacy with a Girl
25,Clear Chapter {1} in Campaign
26,Liberate a Girl to Limit-Break Stage 3
27,Pass Stage {1} in Patrol
28,Win {1} Ultimate League Bets in a row
29,Lose {1} Ultimate League Bets in a row
30,Pass Hexa's Character Challenge
31,Pass Valeera's Character Challenge
32,Reach Security Level {1}
33,Defeat {1} Friend Boss(es)
34,Acquire Lv.{1} reward when defeating Sanctuary Boss
35,Get {1} Collection Points
36,Pass Stage {1} in Tests
37,Check out our FB page
38,Liberate a Girl to Limit-Break Stage 5
39,School Excursion-Upgrade Main Center to Lv. {1}
40,School Excursion-Upgrade Store to Lv. {1}
41,School Excursion-Upgrade Wishing Tree to Lv. {1}
42,School Excursion-Upgrade Food Truck to Lv. {1}
43,School Excursion-Upgrade Explore Level to lv. {1}
44,Reach {1} in Ultimate League - Points Race
45,Unlock {1} Slot(s)
46,Total Score of Outfit Showcase reaches {1}
