id,cell_name
44,Photo Studio
47,Michaelin-starred
52,Japanese Costume Store
55,Snack Store
58,Talk in the Garden
62,Goldfish Scooping
66,Fried Noodles Booth
70,Mask Store
74,Fireworks Display
78,Beauty Pageant
84,Theater Hall
87,Auditorium
91,Souvenir Store
95,Backstage
99,Stage
102,Ferris Wheel
106,Carousel
113,Ice Cream
117,Roller Coaster
119,Haunted House
125,Clothing Store
128,Cat Café
132,Afternoon Tea
135,The Flower Shop
139,Rest
145,Candy Apple Store
148,Fireworks Display
152,Takoyaki
156,Shaved Ice
158,Ring Toss
162,Lake Talk
166,Boating
171,Picnic
175,Flying kites
179,Chess
183,Fan Store
187,Resting area
192,Cat Café
197,Bookstore
200,Arcade
204,Flume Ride
208,Roller Coaster
213,Bumper Cars
217,Dining area
219,Fishing Tournament
