id,name,desc
1,Phantom Haze,"Increase the NPC girls' Hp by 18%, Attack by 14%"
2,Flaw Detection,"Increase NPC Girls' Immunity by 30%, Extra Control Rate by 30%"
3,Parry Practice,"Increase NPC Girl's Block Rate by 30%, Precision by 30%"
4,Shields Up,Increases your Girls' Block Rate by 30%
5,Physical Training,Increases your Girls' Hp by 18%
6,Sword Practice A,Increase your Angel & Demon Girls' Attack by 18%
7,Sword Practice B,Increase your Ghost & Monster Girls' Attack by 18%
8,Sword Practice C,Increase your Human & Fairy Girls' Attack by 18%
9,Evil Ritual,"When battle starts, your girls have 200 Energy."
10,Sanctuary,Prevent 1 lethal damage for your girls
11,Unified Body,"Your girls gain 25% Damage Reduce Rate. Whenever a girl takes damage, it will have 50% chance to distribute evenly among all allies."
12,Immunity,Increases your Girls' Immunity by 100%
13,Dual Blade,"Whenever an ally performs a Basic Attack, there is 50% chance to perform an additional Basic Attack."
14,Potency Evocation,"Increase your Girls' Crit by 25%, Crit Damage by 25%"
