id,event_name,desc
1,Daily Event·Bless,"In Combat Challenges, increase the Attack of Girls from House Angel and House Demon by 18%."
2,Daily Event·Bless,"In Combat Challenges, increase the Attack of Girls from House Angel and House Demon by 18%."
3,Daily Event·Bless,"In Combat Challenges, increase the Attack of Girls from House Angel and House Demon by 18%."
4,Daily Event·Bless,"In Combat Challenges, increase the Attack of Girls from House Angel and House Demon by 18%."
5,Daily Event·Bless,"In Combat Challenges, increase the Attack of Girls from House Angel and House Demon by 18%."
6,Daily Event·Bless,"In Combat Challenges, increase the Attack of Girls from House Angel and House Demon by 18%."
7,Daily Event·Bless,"In Combat Challenges, increase the Attack of Girls from House Ghost by 18%."
8,Daily Event·Bless,"In Combat Challenges, increase the Attack of Girls from House Ghost by 18%."
9,Daily Event·Bless,"In Combat Challenges, increase the Attack of Girls from House Ghost by 18%."
10,Daily Event·Bless,"In Combat Challenges, increase the Attack of Girls from House Ghost by 18%."
11,Daily Event·Bless,"In Combat Challenges, increase the Attack of Girls from House Ghost by 18%."
12,Daily Event·Bless,"In Combat Challenges, increase the Attack of Girls from House Angel and House Demon by 18%."
13,Daily Event·Bless|Daily Event·Progress,"In Combat Challenges, increase the Attack of Girls from House Human by 18%.|The challenge on Block 「Forest 08」 has been completed"
14,Daily Event·Bless|Daily Event·Progress,"In Combat Challenges, increase the Attack of Girls from House Human by 18%.|The challenge on Block 「Castle 02」 has been completed"
15,Daily Event·Bless|Daily Event·Progress,"In Combat Challenges, increase the Attack of Girls from House Human by 18%.|The challenge on Block 「Town 45」 has been completed"
16,Daily Event·Bless|Daily Event·Progress,"In Combat Challenges, increase the Attack of Girls from House Human by 18%.|The challenge on Block 「Lake 24」 has been completed"
17,Daily Event·Bless|Daily Event·Progress,"In Combat Challenges, increase the Attack of Girls from House Human by 18%.|The challenge on Block 「Mansion 09」 has been completed"
18,Daily Event·Bless,"In Combat Challenges, increase the Attack of Girls from House Angel and House Demon by 18%."
19,Daily Event·Bless|Daily Event·Progress,"In Combat Challenges, increase the Attack of Girls from House Monster by 18%.|The challenge on Block 「Forest 03」 has been completed"
20,Daily Event·Bless|Daily Event·Progress,"In Combat Challenges, increase the Attack of Girls from House Monster by 18%.|The challenge on Block 「Castle 05」 has been completed"
21,Daily Event·Bless|Daily Event·Progress,"In Combat Challenges, increase the Attack of Girls from House Monster by 18%.|The challenge on Block 「Town 52」 has been completed"
22,Daily Event·Bless|Daily Event·Progress,"In Combat Challenges, increase the Attack of Girls from House Monster by 18%.|The challenge on Block 「Lake 25」 has been completed"
23,Daily Event·Bless|Daily Event·Progress,"In Combat Challenges, increase the Attack of Girls from House Monster by 18%.|The challenge on Block 「Mansion 05」 has been completed"
24,Daily Event·Bless,"In Combat Challenges, increase the Attack of Girls from House Ghost by 18%."
25,Daily Event·Bless|Daily Event·Bless,"In Combat Challenges, increase the Attack of Girls from House Fairy by 18%.|In Combat Challenges, increase the Hp of your Girls by 18%."
26,Daily Event·Bless|Daily Event·Bless,"In Combat Challenges, increase the Attack of Girls from House Fairy by 18%.|In Combat Challenges, increase the Hp of your Girls by 18%."
