id,mission_des
1,Have 5 times of Main Challenges
2,Have 2 times of Combat Challenges
3,Acquire 250 Eye of Lazurite
4,Have 5 times of Support Challenges
5,Have 5 times of Encounter Challenges
6,Acquire 400 Eye of Lazurite
7,Have 10 times of Main Challenges
8,Complete 2 Chapters of Event Story
9,Acquire 600 Eye of Lazurite
10,Have 10 times of Support Challenges
11,Have 10 times of Encounter Challenges
12,Acquire 800 Eye of Lazurite
13,Have 20 times of Main Challenges
14,Complete 4 Chapters of Event Story
15,Acquire 1000 Eye of Lazurite
16,Have challenges in 2 of the maps
17,Complete 7 Chapters of Event Story
18,Acquire 1250 Eye of Lazurite
19,Have 10 times of challenges in the Final Map
20,Complete 10 Chapters of Event Story
21,Acquire 1500 Eye of Lazurite
