id,desc
1,Complete all the other missions
2,Complete 1 battle in Tests
3,Engage 5 battles in Junior Varsity
4,Complete a battle in Magician's Assistant
5,Purchase 1 piece of Furniture
6,Log in 5 Days
7,Consume 1000 Gems
8,Pull Slot Machine 400 times
9,Pull Slot Machine 800 times
10,Draw 200 Adv. Capsules
11,Draw 500 Adv. Capsules
12,Enroll 40 times
13,Enroll 80 times
14,Acquire a 5-star Girl
15,Graduate 1 Girl to 6-star
16,Consume 1000 Elemental Orbs
17,Consume 2000 Elemental Orbs
18,Use 40 Rudders in total
19,Use 80 Rudders in total
