id,name,desc
1,Seaside Tasks,Vera's Swimsuit-themed Skin
2,Eden Holiday,Nephilim's Swimsuit-themed Skin
3,Tentacle Trouble,Trinity's Swimsuit-themed Skin
4,Colorful Reef,Mika's Swimsuit-themed Skin
5,Maritime,Blair's Swimsuit-themed Skin
6,Prima Donna,Apate's Swimsuit-themed Skin
7,Water Gun Fight,Angelica's Swimsuit-themed Skin
8,Beach Vacation,Frexie's Swimsuit-themed Skin
9,Boom Beach,Estel's Swimsuit-themed Skin
10,Surfing Champion,Guan Yin's Swimsuit-themed Skin
11,Summer Time,Masamune's Swimsuit-themed Skin
12,Oceanic Twins,Esau & Jacob's Swimsuit-themed Skin
13,Sunkissed,Kratos's Swimsuit-themed Skin
14,Sea Spells,Vera's Swimsuit-themed Skin
15,Seaside Maid,Ithil's Swimsuit-themed Skin
16,Beach Pod,CapsuGirl's Swimsuit-themed Skin
17,Full View,Turin's Swimsuit-themed Skin
18,Wave Mistress,Lucifer's Swimsuit-themed Skin
19,Sun Glitter,Phoenix's Swimsuit-themed Skin
20,Halo Shimmer,Michael's Swimsuit-themed Skin
21,Sweet Berry,Gambler's Swimsuit-themed Skin
22,Sea Warrior,Chevalir's Swimsuit-themed Skin
23,Azure Sea,Fencer's Swimsuit-themed Skin
24,Wave Surfer,Hexa's Swimsuit-themed Skin
