id,desc,answer_desc,result_desc
1,"You keep your head down and trying to walk on your shadow, without realizing it you have entered the small garden which Bud Elf takes care of. After getting blamed by Bud Elf, she offers you some plant seeds.",,
2,Hottie is in a good mood as she knows all her students passed the last test. You happened to walk through so she decides to give you a present.,,
3,Gambler and Saint are betting who would get the new reward from the Capsule Machine. Neither of them wins the bet.,,
4,"You receive a gift from Esau and become happy because of it. But then Esau tells you that the gift is for her sister, Jacob.",,
5,"You find an opened book on the table, its owner must have left without finishing it.",Give the book to Librarian.|Give the book to Valeera.,"The book doesn't belong to Libririan, but she's still very happy to see you here.|Valeera is happy to find her lost story book~"
6,You noticed a Spirit Cookie lying on the ground.,Pick it up and eat it.|Ignore.,"A Hunter jumps out of a bush nearby and attacks you. Maybe he is the owner of the cookie.|After taking a few steps forward, the cookie is no longer there."
7,"You have just finished taking your bath, but the hair-dryer is broken.",Go back to the dorm with wet hair.|Sit down and wait for your hair to dry.,You meet Blowie at the door and borrow a hair-dryer from her.|You fall asleep by the door and catch a cold.
8,"It is the period of flowering of the cherry blossoms on the Campus, the breeze is blowing and many petals got scattered on the ground.",Clean up the petals.|Enjoy the scene.,"Before you can finish the job, a strong wind comes and all the petals you swept together got scattered again.|The scene is very beautiful and you enjoyed a good time... Until you realized that you are late for an important internship."
9,The Shopping Street is crowded today. You noticed a pair of white wings in the crowd.,Touch the feathers on the wings.|Avoid the wings.,"The owner of the wings overreacted and burns your hand.|It's Phoenix, she's glad to see you as she's been lost for a long time. So you helped her to get to the store she wants to be, and she gives you a feather of hers in return."
10,"You have encountered enemies. Engage? (Exploration time will lengthen if you lose, no rewards are given if you leave)",,Your team has won the battle!|Your team has retreated.
11,"You have encountered enemies. Engage? (Exploration time will lengthen if you lose, no rewards are given if you leave)",,Your team has won the battle!|Your team has retreated.
12,"You have encountered enemies. Engage? (Exploration time will lengthen if you lose, no rewards are given if you leave)",,Your team has won the battle!|Your team has retreated.
13,"Sonya wants you to try her new recipe, but you fall asleep after giving it a try. As it turns out, the dish is specially designed for girls who don't sleep well.",,
14,"You meet KongMing on the road so you hope she can join you in finding the lost items. But obviously, KongMing has something more important to do, so she leaves after giving you a hint.",,
15,"You find there's some new reward added to the Capsule Machine, but you need more resource to purchase more token. So you work harder and faster to end this job quicker.",,
16,"You want to figure out the difference between ice and snow, so you ask Fencer for help. But she happens to freeze you when trying to show you the difference.",,
