id,desc
1,Complete all the other tasks (Daily)
2,Complete 1 battle in Tests
3,Engage 5 battles in Junior Varsity
4,Fight in Gym for 2 time(s)
5,Purchase 1 piece of Furniture
6,Complete all the other tasks (Weekly)
7,Log in 5 Days
8,Consume 4000 Gems
9,Pull Slot Machine 300 times
10,Pull Slot Machine 600 times
11,Draw Advanced Capsule 200 times
12,Draw Advanced Capsule 500 times
13,Enroll 40 times
14,Enroll 80 times
15,Use 40 Rudders in total
16,Use 80 Rudders in total
17,Obtain 1 5-star Girl
18,Obtain 1 6-star Girl
