id,desc
1,Complete all other missions
2,Daily Login
3,Use Normal Slot Machine 3 times
4,Complete 5 Junior Varsity battles
5,Challenge Friend Boss 1 time
6,Use Alchemy twice to get Coins
7,Spend 500 Gems
8,Complete all other missions
9,Daily Login
10,Complete 1 4-star Quest in Internship
11,Purchase 1 merchandise in Market
12,Clear 6 Quizzes in Daily Quiz
13,Send out 15 Hearts
14,Draw from Adv. Capsule 3 times
15,Complete all other missions
16,Daily Login
17,Collect Auto-Battle Loot 5 times in Campaign
18,Complete 10 Junior Varsity battles
19,Upgrade your Girl(s) 50 times
20,Forge 10 Gears
21,Spend 1000 Gems
22,Complete all other missions
23,Daily Login
24,Transfer 10 Girls
25,Purchase 2 merchandise in Market
26,Clear 12 Quizzes in Daily Quiz
27,Draw 5 BFF Capsules
28,Draw from Adv. Capsule 6 times
29,Complete all other missions
30,Daily Login
31,Use Normal Slot Machine 6 times
32,Complete 15 Junior Varsity battles
33,Challenge Friend Boss 2 times
34,Use Alchemy 4 times to get Coins
35,Spend 1500 Gems
36,Complete all other missions
37,Daily Login
38,Complete 2 4-star Quests in Internship
39,Purchase 3 merchandise in Market
40,Clear 18 Quizzes in Daily Quiz
41,Send out 30 Hearts
42,Draw from Adv. Capsule 9 times
43,Complete all other missions
44,Daily Login
45,Collect Auto-Battle Loot 10 times in Campaign
46,Complete 20 Junior Varsity battles
47,Upgrade your Girl(s) 100 times
48,Forge 20 Gears
49,Spend 2000 Gems
