id,title,name,dialog,select_text
1,Scavenger Hunt,Valeera,The starting pistol and referee whistle are ready... Everything seems to be working just fine.,
2,,Valeera,"So, the first event is... Scavenger Hunt.",
3,,Valeera,This is my first step to becoming a great referee.,
4,,Valeera,"Attention everyone, I will announce the rules of Scavenger Hunt right now!",
5,,Valeera,"First, each participant will come over and take a badge. On the badge, you will see the image of the item you need to find.",
6,,Valeera,"Once you've successfully ""borrowed"" the required item, you can cross the finish line and end your race. The rankings will be based on how much time it takes for you to find your item.",
7,,Aquaris,"Valeera, can you at least give us a hint about the objects we have to find?",
8,,Valeera,"Sorry, that won't be possible. All I can tell you is that anything you can imagine might appear on the badge.",
9,,Valeera,"So, even if you think you're ready... It might still be extremely hard for you to succeed.",
10,,Aquaris,Huh?! That sounds extremely tough.,
11,,Iron Fist,"Well, we should try our best.",
12,,Valeera,Please line up here and take your badges. You will have 2 minutes to prepare before the hunt starts.,
13,,Aquaris,???... Is this a joke?!?!,
14,,,Aquaris shouted once she got her badge.,
15,,Iron Fist,Aquaris? What is it?,
16,,Aquaris,It... It's already impossible for me to finish. I wish you the best of luck.,
17,,Hottie,"Actually, Aquaris, you're very lucky. This is a pretty easy object to obtain.",
18,,Aquaris,"Hottie... I don't feel lucky having to ""borrow"" Joan's twin blades.",
19,,Aquaris,It's already hard enough for me to make small talk with her.,
20,,Hottie,"Despite the fact that Joan is kind of hard to get along with, I think there's a good chance you could still borrow her blades.",
21,,Aquaris,Do you mean... some of the objects are even harder to get?,
22,,Hottie,"Not by much, but there might be a higher degree of difficulty. I'm sure we'll find out looking at everyone's faces.",
23,,,"As predicted, most of the contestants had panic written on their faces.",
24,,Student A,Uh... This is Ithil's eye mask... How can anybody possibly get that?,
25,,Student B,"You're lucky. I need to find some black feathers, which means I will have to go to House Demon...",
26,,Aquaris,"Hottie, you were right! I'm pretty well off compared to them...",
27,,Aquaris,"By the way, Iron Fist, what do you need to find?",
28,,Iron Fist,"KongMing's fan. That should be easy, I think.",
29,,Aquaris,That's the jackpot! It's an easy job for you!,
30,,Iron Fist,I just saw KongMing at the rostrum...,
31,,Aquaris,"Well, I guess there's no doubt that you'll win first place...",
32,,Valeera,"Alright, I think everyone's got their badge. Ready, Set... GOOOOO!!!",
33,,,Sapphire was the only contestant who didn't rush off when the race began.,
34,,,She simply walked across the finish line without finding anything.,
35,,Valeera,"Sapphire, 58 Seconds!",
36,,Student A,How could that be? She didn't even borrow anything. How does that count as a success?!,
37,,Valeera,Sapphire finished the hunt because the item she needed to borrow was her fox.,
